Row Taxon Label	GenBank Accession	Start Index	End Index		
Ascochyta pisi AP1	DQ383963	1	550		
Ascochyta pisi AP5	DQ383965	1	550		
Ascochyta fabae AF1	DQ383959	1	550		
Ascochyta fabae AF8	DQ383960	1	550		
Ascochyta lentis AL1	DQ383961	1	550		
Ascochyta lentis AL2	DQ383961	1	550		
Ascochyta lentis AL3	DQ383961	1	550		
Ascochyta lentis AL6	DQ383961	1	550		
Ascochyta lentis AL11	DQ383962	1	550		
Ascochyta sp. ER1415	DQ383961	1	550		
Ascochyta sp. ER1478	DQ383961	1	550		
Ascochyta sp. ER1813	DQ383961	1	550		
Ascochyta viciae-villosae AV1	DQ383968	1	550		
Ascochyta sp. AV8	DQ383969	1	550		
Ascochyta sp.  AV11	DQ383970	1	550		
Ascochyta sp. Georgia-2	DQ383971	1	550		
Ascochyta sp. Georgia-3	DQ383972	1	550		
Ascochyta sp. Georgia-4	DQ383972	1	550		
Ascochyta sp. Georgia-8	DQ383971	1	550		
Ascochyta sp. Georgia-13	DQ383970	1	550		
Ascochyta sp. Georgia-16	DQ383974	1	550		
Ascochyta rabiei AR628	DQ383958	1	550		
Ascochyta rabiei AR21	DQ383958	1	550		
Ascochyta sp. Georgia-11	DQ383973	1	550		
Ascochyta sp. ID1A	KR184154	1	550		
Ascochyta sp. ID3A	KR184155	1	550		
Ascochyta sp. ID4A	KR184156	1	550		
Phoma medicaginis AS1	EU394712	1	550		
Phoma medicaginis AS4	EU394713	1	550		
Phoma koolunga FT07010	KR184157	1	550		
Ascochyta pinodes MP1	DQ383975	1	550		
Ascochyta pinodes MP2	DQ383976	1	550		
Ascochyta pinodes MP19	DQ383977	1	550		
Ascochyta pinodella PMP1	DQ383978	1	550		
Ascochyta pinodella PMP3	DQ383978	1	550		
Ascochyta pinodella PMP4	DQ383979	1	550		
Phoma herbarum CBS615.75	KR184158	1	550		
Didymella exigua CBS183.55	KR184159	1	550		
Alternaria solani ALS1	KR184153	1	550		
Alternaria solani ALS2	KR184153	1	550		
Ascochyta pisi AP1	DQ386481	551	880		
Ascochyta pisi AP5	DQ386481	551	880		
Ascochyta fabae AF1	DQ386481	551	880		
Ascochyta fabae AF8	DQ386481	551	880		
Ascochyta lentis AL1	DQ386482	551	880		
Ascochyta lentis AL2	DQ386482	551	880		
