Row Taxon Label	Title	Start Index	End Index	Inst. Acronym	Collection Code	Catalog Number	GenBank Accession	Other Accession Num	Sample Date	Sample Taxon Label	Collector	country	state	locality	Note
Ascochyta pisi AP1		1	1246		AP1	ATCC201617	DQ383963 DQ386481 DQ386494		1992	Ascochyta pisi 	W.J. Kaiser	Bulgaria			"Genbank accessions G3PD, CHS, and EF: 1~550 for G3PD, 551~880 for CHS, and 881~1246 for EF"
Ascochyta pisi AP5		1	1246		AP5		DQ383965 DQ386481 DQ386494			Ascochyta pisi 	B. Gossen	Canada	Saskatoon		"Genbank accessions G3PD, CHS, and EF: 1~550 for G3PD, 551~880 for CHS, and 881~1247 for EF"
Ascochyta fabae AF1		1	1246		AF1	ATCC96418	DQ383959 DQ386481 DQ386492		1992	Ascochyta fabae 	B. Vandenberg	Canada	Saskatoon		"Genbank accessions G3PD, CHS, and EF: 1~550 for G3PD, 551~880 for CHS, and 881~1248 for EF"
Ascochyta fabae AF8		1	1246		AF8	ATCC201613	DQ383960 DQ386481 DQ386492		1992	Ascochyta fabae 	R.A.A. Morrall	United Kingdom		Cambridge	"Genbank accessions G3PD, CHS, and EF: 1~550 for G3PD, 551~880 for CHS, and 881~1249 for EF"
Ascochyta lentis AL1		1	1246		AL1	ATCC96419	DQ383961 DQ386482 DQ386493			Ascochyta lentis 	W.J. Kaiser	Australia			"Genbank accessions G3PD, CHS, and EF: 1~550 for G3PD, 551~880 for CHS, and 881~1250 for EF"
Ascochyta lentis AL2		1	1246		AL2	ATCC96420	DQ383961 DQ386482 DQ386493			Ascochyta lentis 	W.J. Kaiser	Brazil			"Genbank accessions G3PD, CHS, and EF: 1~550 for G3PD, 551~880 for CHS, and 881~1251 for EF"
Ascochyta lentis AL3		1	1246		AL3	ATCC46979	DQ383961 DQ386482 KR184174			Ascochyta lentis 	W.J. Kaiser	Canada			"Genbank accessions G3PD, CHS, and EF: 1~550 for G3PD, 551~880 for CHS, and 881~1252 for EF"
Ascochyta lentis AL6		1	1246		AL6	ATCC46982	DQ383961 DQ386482 DQ386493			Ascochyta lentis 	W.J. Kaiser	Russia			"Genbank accessions G3PD, CHS, and EF: 1~550 for G3PD, 551~880 for CHS, and 881~1253 for EF"
Ascochyta lentis AL11		1	1246		AL11	ATCC46980	DQ383962 DQ386482 DQ386493			Ascochyta lentis 	W.J. Kaiser	India			"Genbank accessions G3PD, CHS, and EF: 1~550 for G3PD, 551~880 for CHS, and 881~1254 for EF"
Ascochyta sp. ER1415		1	1246		ER1415		DQ383961 DQ386482 KR184175		2007	Ascochyta sp. 	A. Infantino	Italy		Salerno	"Genbank accessions G3PD, CHS, and EF: 1~550 for G3PD, 551~880 for CHS, and 881~1255 for EF"
Ascochyta sp. ER1478		1	1246		ER1478		DQ383961 DQ386482 DQ386493		2008	Ascochyta sp. 	A. Infantino	Italy		Salerno	"Genbank accessions G3PD, CHS, and EF: 1~550 for G3PD, 551~880 for CHS, and 881~1256 for EF"
Ascochyta sp. ER1813		1	1246		ER1813		DQ383961 DQ386482 DQ386493		2013	Ascochyta sp. 	A. Infantino	Italy		Salerno	"Genbank accessions G3PD, CHS, and EF: 1~550 for G3PD, 551~880 for CHS, and 881~1257 for EF"
Ascochyta viciae-villosae AV1		1	1246		AV1		DQ383968 DQ386483 DQ386497		1983	Ascochyta viciae-villosae	W.J. Kaiser	USA	Washington		"Genbank accessions G3PD, CHS, and EF: 1~550 for G3PD, 551~880 for CHS, and 881~1258 for EF"
Ascochyta sp. AV8		1	1246		AV8		DQ383969 DQ386483 DQ386497		1994	Ascochyta sp. 	W.J. Kaiser	USA	Washington		"Genbank accessions G3PD, CHS, and EF: 1~550 for G3PD, 551~880 for CHS, and 881~1259 for EF"
