Row Taxon Label	Title	Start Index	End Index		GenBank Accession (G3PD)	Start Index	End Index		GenBank Accession (CHS)	Start Index	End Index		GenBank Accession (EF)	Start Index	End Index
Ascochyta pisi AP1		1	1246		DQ383963	1	550		DQ386481	551	880		DQ386494	881	1246
Ascochyta pisi AP5		1	1246		DQ383965	1	550		DQ386481	551	880		DQ386494	881	1246
Ascochyta fabae AF1		1	1246		DQ383959	1	550		DQ386481	551	880		DQ386492	881	1246
Ascochyta fabae AF8		1	1246		DQ383960	1	550		DQ386481	551	880		DQ386492	881	1246
Ascochyta lentis AL1		1	1246		DQ383961	1	550		DQ386482	551	880		DQ386493	881	1246
Ascochyta lentis AL2		1	1246		DQ383961	1	550		DQ386482	551	880		DQ386493	881	1246
Ascochyta lentis AL3		1	1246		DQ383961	1	550		DQ386482	551	880		KR184174	881	1246
Ascochyta lentis AL6		1	1246		DQ383961	1	550		DQ386482	551	880		DQ386493	881	1246
Ascochyta lentis AL11		1	1246		DQ383962	1	550		DQ386482	551	880		DQ386493	881	1246
Ascochyta sp. ER1415		1	1246		DQ383961	1	550		DQ386482	551	880		KR184175	881	1246
Ascochyta sp. ER1478		1	1246		DQ383961	1	550		DQ386482	551	880		DQ386493	881	1246
Ascochyta sp. ER1813		1	1246		DQ383961	1	550		DQ386482	551	880		DQ386493	881	1246
Ascochyta viciae-villosae AV1		1	1246		DQ383968	1	550		DQ386483	551	880		DQ386497	881	1246
Ascochyta sp. AV8		1	1246		DQ383969	1	550		DQ386483	551	880		DQ386497	881	1246
Ascochyta sp.  AV11		1	1246		DQ383970	1	550		DQ386484	551	880		DQ386498	881	1246
Ascochyta sp. Georgia-2		1	1246		DQ383971	1	550		DQ386485	551	880		DQ386499	881	1246
Ascochyta sp. Georgia-3		1	1246		DQ383972	1	550		DQ386486	551	880		DQ386500	881	1246
Ascochyta sp. Georgia-4		1	1246		DQ383972	1	550		DQ386486	551	880		DQ386501	881	1246
Ascochyta sp. Georgia-8		1	1246		DQ383971	1	550		DQ386483	551	880		DQ386502	881	1246
Ascochyta sp. Georgia-13		1	1246		DQ383970	1	550		DQ386481	551	880		DQ386505	881	1246
Ascochyta sp. Georgia-16		1	1246		DQ383974	1	550		DQ386481	551	880		DQ386506	881	1246
Ascochyta rabiei AR628		1	1246		DQ383958	1	550		KR184160	551	880		KR184176	881	1246
Ascochyta rabiei AR21		1	1246		DQ383958	1	550		DQ386480	551	880		DQ386488	881	1246
Ascochyta sp. Georgia-11		1	1246		DQ383973	1	550		DQ386487	551	880		DQ386504	881	1246
Ascochyta sp. ID1A		1	1246		KR184154	1	550		KR184161	551	880		KR184177	881	1246
Ascochyta sp. ID3A		1	1246		KR184155	1	550		DQ386487	551	880		KR184178	881	1246
Ascochyta sp. ID4A		1	1246		KR184156	1	550		KR184162	551	880		KR184179	881	1246
Phoma medicaginis AS1		1	1246		EU394712	1	550		KR184163	551	880		EU394714	881	1246
Phoma medicaginis AS4		1	1246		EU394713	1	550		KR184164	551	880		EU394715	881	1246
Phoma koolunga FT07010		1	1246		KR184157	1	550		KR184165	551	880		KR184180	881	1246
Ascochyta pinodes MP1		1	1246		DQ383975	1	550		KR184166	551	880		KR184181	881	1246
Ascochyta pinodes MP2		1	1246		DQ383976	1	550		KR184167	551	880		KR184181	881	1246
Ascochyta pinodes MP19		1	1246		DQ383977	1	550		KR184168	551	880		KR184182	881	1246
Ascochyta pinodella PMP1		1	1246		DQ383978	1	550		KR184169	551	880		KR184183	881	1246
Ascochyta pinodella PMP3		1	1246		DQ383978	1	550		KR184170	551	880		KR184184	881	1246
Ascochyta pinodella PMP4		1	1246		DQ383979	1	550		KR184170	551	880		KR184185	881	1246
Phoma herbarum CBS615.75		1	1246		KR184158	1	550		KR184171	551	880		KR184186	881	1246
Didymella exigua CBS183.55		1	1246		KR184159	1	550		KR184172	551	880		KR184187	881	1246
Alternaria solani ALS1		1	1246		KR184153	1	550		KR184173	551	880		KR184188	881	1246
Alternaria solani ALS2		1	1246		KR184153	1	550		KR184173	551	880		KR184188	881	1246
