Row Taxon Label	Title	Start Index	End Index	Inst. Acronym	Collection Code	Catalog Number	GenBank Accession rbcL	GenBank Accession matK	GenBank Accession ndhF	GenBank Accession trnTL	GenBank Accession trnLF	GenBank Accession psbA-trnH	GenBank Accession atpB-rbcL	GenBank Accession trnSG	Other Accession Num	Sample Date	Sample Taxon Label	Collector	Latitude	Longitude	Elevation	Country	State	Locality	Notes
Alphonsea boniana		1	7787				AY318965	Ñ	Ñ	Ñ	AY319077	Ñ	Ñ	Ñ			Alphonsea boniana								
Alphonsea elliptica		1	7787				AY318966	Ñ	Ñ	Ñ	AY319078	Ñ	Ñ	Ñ			Alphonsea elliptica								
Ambavia gerrardii		1	7787				JQ513886	Ñ	Ñ	Ñ	JQ513889	Ñ	Ñ	Ñ			Ambavia gerrardii								
Anaxagorea phaeocarpa		1	7787				AY238952	AY238960	EF179279	DQ861643	AY231284 (intron) / AY238944 (spacer)	AY841426	EF179244	EF179321			Anaxagorea phaeocarpa								
Anaxagorea silvatica		1	7787				AY743439	AY743477	EF179280	DQ861644	AY743458	AY841427	AY578140	EF179322			Anaxagorea silvatica								
Annickia chlorantha		1	7787				AY841594	AY841393	AY841401	AY841571	AY841671	AY841442	AY841370	AY841550			Annickia chlorantha								
Annickia pilosa		1	7787				AY743450	AY743488	AY841402	AY841572	AY743469	AY841444	AY841371	AY841551			Annickia pilosa								
Annona glabra		1	7787				AY841596	DQ125050	EF179281	JQ742022	AY841673	DQ125116	EF179246	EF179323			Annona glabra								
Annona herzogii		1	7787				AY841656	DQ125062	EF179308	JQ742023	AY841734	DQ125132	EF179273	EF179350			Annona herzogii								
Annona muricata		1	7787				AY743440	AY743478	EF179282	DQ861648	AY743459 5	AY841428	EF179247	EF179324			Annona muricata								
Anonidium sp		1	7787				AY841598	DQ125051	EF179283	JQ742024	AY841675	DQ125117	EF179248	EF179325			Anonidium sp								
Artabotrys hexapetalus		1	7787				AY238953	AY238962	EF179284	DQ861649	AY231286 (intron) / AY238946 (spacer)	AY841429	EF179249	EF179326			Artabotrys hexapetalus								
Artabotrys sp		1	7787				AY841599	DQ125052	EF179285	JQ742025	AY841676	DQ125118	EF179250	EF179327			Artabotrys sp								
Asimina angustifolia		1	7787				DQ124939	DQ125053	EF179286	JQ742026	AY841677	DQ125119	EF179251	EF179328			Asimina angustifolia								
Asimina rugelii		1	7787				JQ513887	Ñ	Ñ	Ñ	GQ139881	Ñ	Ñ	Ñ			Asimina rugelii								
Asimina triloba		1	7787				AY743441	AY743479	EF179287	JQ742027	AY743460	AY841430	EF179252	EF179329			Asimina triloba								
Asteranthe asterias		1	7787				EU169757	Ñ	Ñ	Ñ	EU169757	Ñ	Ñ	Ñ			Asteranthe asterias								
Bocageopsis multiflora		1	7787				AY841600	Ñ	Ñ	Ñ	AY841678	Ñ	Ñ	Ñ			Bocageopsis multiflora								
Bocageopsis pleiosperma		1	7787				AY841601	Ñ	Ñ	Ñ	AY841679	Ñ	Ñ	Ñ			Bocageopsis pleiosperma								
Cananga odorata		1	7787				AY841602	AY841394	AY841403	Ñ	AY841680	AY841431	AY841372	AY841548			Cananga odorata								
Cleistopholis glauca		1	7787				AY841603	AY841395	AY841404	Ñ	AY841681	AY841432	AY841373	AY841549			Cleistopholis glauca								
Coelocaryon preussii		1	7787				AY743437	AY743475 	JQ437546	Ñ	AY743456	AY841424	Ñ	Ñ			Coelocaryon preussii								
Cremastosperma brevipes		1	7787				AY743527	AY743550	AY841405	AY841573	AY743573	AY841447	AY841374	AY841552			Cremastosperma brevipes								
Cremastosperma cauliflorum		1	7787				AY743519	AY743542	AY841406	AY841574	AY743565	AY841448	AY841375	AY841553			Cremastosperma cauliflorum								
Cyathocalyx martabanicus		1	7787				AY841605	DQ125054	EF179288	JQ742028	AY841683	DQ125120	EF179253	EF179330			Cyathocalyx martabanicus								
Cymbopetalum brasiliense		1	7787				AY841608	DQ125055	EF179289	DQ861646	AY841686	DQ125121	EF179254	EF179331			Cymbopetalum brasiliense								
Cymbopetalum torulosum		1	7787				AY743442	Ñ	Ñ	Ñ	AY743461	Ñ	Ñ	Ñ			Cymbopetalum torulosum								
Dasymaschalon macrocalyx		1	7787				AY841610	EF179277	EF179290	JQ742029	AY841688	EF179313	EF179255	EF179332			Dasymaschalon macrocalyx								
Dasymaschalon sootepense		1	7787				AY743443	Ñ	Ñ	Ñ	AY743462	Ñ	Ñ	Ñ			Dasymaschalon sootepense								
Degeneria vitiensis		1	7787				L12643	Ñ	Ñ	Ñ	AY220414 (intron) / AY220361 (spacer)	Ñ	Ñ	Ñ			Degeneria vitiensis								
Desmopsis microcarpa		1	7787				AY319059	Ñ	Ñ	Ñ	AY319173	Ñ	Ñ	Ñ			Desmopsis microcarpa								
Desmopsis schippii		1	7787				AY319060	Ñ	Ñ	Ñ	AY319174	Ñ	Ñ	Ñ			Desmopsis schippii								
Desmos chinensis		1	7787				JQ762414	Ñ	Ñ	Ñ	JQ762415	Ñ	Ñ	Ñ			Desmos chinensis								
Desmos elegans		1	7787				HQ214067	Ñ	Ñ	Ñ	HQ214069	Ñ	Ñ	Ñ			Desmos elegans								
Dielsiothamnus divaricatus		1	7787				AY318965	Ñ	Ñ	Ñ	AY319077	Ñ	Ñ	Ñ			Dielsiothamnus divaricatus								
Disepalum pulchrum		1	7787				JQ513888	Ñ	Ñ	Ñ	GQ139909	Ñ	Ñ	Ñ			Disepalum pulchrum								
Disepalum platypetalum		1	7787				AY841612	Ñ	Ñ	Ñ	AY841690	Ñ	Ñ	Ñ			Disepalum sp								
Drepananthus biovulatus		1	7787				HM173779	Ñ	Ñ	Ñ	HM173751	Ñ	Ñ	Ñ			Drepananthus biovulatus								
Duguetia hadrantha		1	7787				AY738161	AY740541	EF179293	DQ861650	AY740573	DQ125123	EF179258	EF179335			Duguetia hadrantha								
Duguetia staudtii		1	7787				AY738178	AY740558	EF179294	JQ742030	AY740590	DQ125124	EF179259	EF179336			Duguetia staudtii								
Enicosanthum membranifolium		1	7787				AY318974	Ñ	Ñ	Ñ	AY319086	Ñ	Ñ	Ñ			Enicosanthum membranifolium								
Enicosanthum paradoxum		1	7787				AY318975	Ñ	Ñ	Ñ	AY319087	Ñ	Ñ	Ñ			Enicosanthum paradoxum								
Ephedranthus boliviensis		1	7787				AY841614	Ñ	Ñ	Ñ	AY841692	Ñ	Ñ	Ñ			Ephedranthus boliviensis								
Ephedranthus sp		1	7787				AY841616	AY841396	AY841407	AY841575	AY841694	AY841463	AY841376	AY841554			Ephedranthus sp								
Eupomatia bennettii		1	7787				DQ861790	JQ437547	Ñ	Ñ	DQ861842	Ñ	Ñ	JQ513885			Eupomatia bennettii								
Fissistigma glaucescens		1	7787				AY743444	Ñ	Ñ	Ñ	AY743463	AY743444	Ñ	Ñ			Fissistigma glaucescens								
Fissistigma uonicum		1	7787				AY841617	Ñ	Ñ	Ñ	AY841695	Ñ	Ñ	Ñ			Fissistigma uonicum								
Fitzalania heteropetala		1	7787				AY318977	Ñ	Ñ	Ñ	AY319089	Ñ	Ñ	Ñ			Fitzalania heteropetala								
Friesodielsia desmoides		1	7787				AY841618	Ñ	Ñ	Ñ	AY841696	Ñ	Ñ	Ñ			Friesodielsia desmoides								
Friesodielsia sp		1	7787				AY841619	Ñ	Ñ	Ñ	AY841697	Ñ	Ñ	Ñ			Friesodielsia sp								
Fusaea longifolia		1	7787				AY841620	Ñ	Ñ	Ñ	AY841698	Ñ	Ñ	Ñ			Fusaea longifolia								
Fusaea peruviana		1	7787				AY743445	AY743483	EF179295	DQ861652	AY743464	AY841436	EF179260	EF179337			Fusaea peruviana								
Galbulimima belgraveana		1	7787				L12646	Ñ	Ñ	Ñ	AY220415 (intron) / AY220362 (spacer)	Ñ	Ñ	Ñ			Galbulimima belgraveana								
Goniothalamus griffithii		1	7787				AY743446	AY743484	EF179296	JQ742031	AY743465	DQ125125	EF179261	EF179338			Goniothalamus griffithii								
Goniothalamus tapis		1	7787				AY841622	DQ125058	EF179297	JQ742032	AY841700	DQ125126	EF179262	EF179339			Goniothalamus tapis								
Greenwayodendron oliveri		1	7787				AY743451	AY743489	AY841408	AY841576	AY743470	AY841465	AY841377	AY841555			Greenwayodendron oliveri								
Greenwayodendron suaveolens		1	7787				AY841524	Ñ	Ñ	Ñ	AY841538	Ñ	Ñ	Ñ			Greenwayodendron suaveolens								
Guatteria anomala		1	7787				AY740962	AY740913	EF179298	DQ861657	AY741011	AY841437	EF179263	EF179340			Guatteria anomala								
Guatteria pudica		1	7787				AY740994	AY740945	JQ769093	DQ861663	AY741043	DQ125197	JQ513884	FJ842397			Guatteria pudica								
Haplostichanthus longirostris		1	7787				AY318979	Ñ	Ñ	Ñ	AY319091	Ñ	Ñ	Ñ			Haplostichanthus longirostris								
Hexalobus crispiflorus		1	7787				EU169782	Ñ	Ñ	Ñ	EU169760	Ñ	Ñ	Ñ			Hexalobus crispiflorus								
Hexalobus salicifolius		1	7787														Hexalobus salicifolius								
Hornschuchia citriodora		1	7787				AY841625	Ñ	Ñ	Ñ	AY841703	Ñ	Ñ	Ñ			Hornschuchia citriodora								
Isolona campanulata		1	7787				AY238954	AY238963	EU169715	JQ742033	AY231287 (intron) / AY238947 (spacer)	DQ125127	EF179266	EU169806			Isolona campanulata								
Isolona cooperi		1	7787				AY841626	Ñ	Ñ	Ñ	AY841704	Ñ	Ñ	Ñ			Isolona cooperi								
Klarobelia inundata		1	7787				AY743452	AY743490	AY841409	AY841577	AY743471	AY841469	AY841378	AY841556			Klarobelia inundata								
Klarobelia stipitata		1	7787				AY841628	Ñ	Ñ	Ñ	AY841706	Ñ	Ñ	Ñ			Klarobelia stipitata								
Letestudoxa bella		1	7787				AY841629	DQ125059	EF179302	DQ861653.	AY841707	DQ125128	EF179267	EF179344			Letestudoxa bella								
Letestudoxa glabrifolia		1	7787				AY841630	Ñ	Ñ	Ñ	AY841708	Ñ	Ñ	Ñ			Letestudoxa glabrifolia								
Lettowianthus stellatus		1	7787				EU169775	Ñ	Ñ	Ñ	EU169753	Ñ	Ñ	Ñ			Lettowianthus stellatus								
Liriodendron chinense		1	7787				AY841593	Ñ	Ñ	Ñ	AY841670	Ñ	Ñ	Ñ			Liriodendron chinense								
Maasia discolor		1	7787				AY319021	AY518872	AY841416	AY841584	AY319135	AY841500	AY841385	AY841563			Maasia discolor								
Maasia glauca		1	7787				AY319023	Ñ	Ñ	Ñ	AY319137	Ñ	Ñ	Ñ			Maasia glauca								
Maasia sumatrana		1	7787				AY319039	AY518873	AY841418	AY841586	AY319153	AY841503	AY841387	AY841565			Maasia sumatrana								
Magnolia kobus		1	7787				AY743438	Ñ	Ñ	Ñ	AY743457	Ñ	Ñ	Ñ			Magnolia kobus								
Malmea dielsiana		1	7787				AY238955	AY238964	AY841410	AY841578	AY231288 (intron) / AY238948 (spacer)	AY841473	AY841379	AY841557			Malmea dielsiana								
Malmea sp		1	7787				AY841527	AY841397	AY841411	AY841579	AY841541	AY841475	AY841380	AY841558			Malmea sp								
Marsypopetalum littoralis		1	7787				AY319026	Ñ	Ñ	Ñ	AY319140						Marsypopetalum littoralis								
Marsypopetalum pallidum		1	7787				AY318980	Ñ	Ñ	Ñ	AY319092	Ñ	Ñ	Ñ			Marsypopetalum pallidum								
Meiocarpidium lepidotum		1	7787				EU169776	EU169687	Ñ	Ñ	EU169754	EU169731	Ñ	EU169798			Meiocarpidium lepidotum								
Meiogyne cylindrocarpa		1	7787				AY318981	Ñ	Ñ	Ñ	AY319093	Ñ	Ñ	Ñ			Meiogyne cylindrocarpa								
Meiogyne stenopetala		1	7787				AY318971	Ñ	Ñ	Ñ	AY319083	Ñ	Ñ	Ñ			Meiogyne stenopetala								
Meiogyne virgata		1	7787				AY318982	Ñ	Ñ	Ñ	AY319094	Ñ	Ñ	Ñ			Meiogyne virgata								
Meiogyne sp		1	7787				AY841623	Ñ	Ñ	Ñ	AY841701	Ñ	Ñ	Ñ			Meiogyne sp								
Mezzettia parviflora		1	7787				AY318983	Ñ	Ñ	Ñ	AY319095	Ñ	Ñ	Ñ			Mezzettia parviflora								
Miliusa horsfieldii		1	7787				AY318986	Ñ	Ñ	Ñ	AY319098	Ñ	Ñ	Ñ			Miliusa horsfieldii								
