Ori_ID	Row Taxon Label	Title	Start Index	End Index	Inst. Acronym	Collection Code	Catalog Number	GenBank Accession	Other Accession Num	Sample Date	Sample Taxon Label	Collector	Latitude	Longitude	Elevation	Country	State	Locality	Notes
18	Aethionema cordifolium		1	67698				NC_009265			Aethionema cordifolium								
15	Aethionema grandiflorum		1	67698				NC_009266			Aethionema grandiflorum								
14	Arabidopsis thaliana		1	67698				NC_000932			Arabidopsis thaliana								
13	Arabis hirsuta		1	67698				NC_009268			Arabis hirsuta								
10	Barbarea verna		1	67698				NC_009269			Barbarea verna								
5	Brassica napus		1	67698				NC_016734			Brassica napus								
2	Capsella bursa-pastoris		1	67698				NC_009270			Capsella bursa-pastoris								
6	Cardamine impatiens		1	67698				KJ136822			Cardamine impatiens								
12	Cardamine resedifolia		1	67698				KJ136821			Cardamine resedifolia								
4	Crucihimalaya wallichii		1	67698				NC_009271			Crucihimalaya wallichii								
3	Draba nemorosa		1	67698				NC_009272			Draba nemorosa								
17	Lepidium virginicum		1	67698				NC_009273			Lepidium virginicum								
1	Lobularia maritima		1	67698				NC_009274			Lobularia maritima								
16	Nasturtium officinale		1	67698				NC_009275			Nasturtium officinale								
11	Olimarabidopsis pumila		1	67698				NC_009267			Olimarabidopsis pumila								
7	Pachycladon cheesemanii		1	67698				NC_021102			Pachycladon cheesemanii								
9	Pachycladon enysii		1	67698				NC_018565			Pachycladon enysii								
8	Carica papaya		1	67698				NC_010323			Carica papaya								
