RowSegmentID	Row Taxon Label	Title	Start Index	End Index	Inst. Acronym	Collection Code	Catalog Number	GenBank Accession	Other Accession Num	Sample Date	Sample Taxon Label	Collector	Latitude	Longitude	Elevation	Country	State	Locality	Notes
	Cylindropuntia acanthocarpa	atpB-rbcL (1-806); psbA-trnH (807-1139); trnK/matK (1140-3594)	1	3594	MEXU			FN997252	atpB-rbcL: LN871068; psbA-trnH: LN871116		Cylindropuntia acanthocarpa	H.M. Hernandez 1564							trnK/matK sequence from GenBank
	Cylindropuntia alcahes	atpB-rbcL (1-806); psbA-trnH (807-1139); trnK/matK (1140-3594)	1	3594	QMEX			FN997448	atpB-rbcL: LN871069; psbA-trnH: LN871117		Cylindropuntia alcahes	R.T. Barcenas 1543							trnK/matK sequence from GenBank
	Cylindropuntia anteojoensis	atpB-rbcL (1-806); psbA-trnH (807-1139); trnK/matK (1140-3594)	1	3594	MEXU			FN997308	atpB-rbcL: LN871070; psbA-trnH: LN871118		Cylindropuntia anteojoensis	H.Sanchez M. 4120							trnK/matK sequence from GenBank
	Cylindropuntia arbuscula	atpB-rbcL (1-806); psbA-trnH (807-1139); trnK/matK (1140-3594)	1	3594	MEXU			FN997221	atpB-rbcL: LN871071; psbA-trnH: LN871119		Cylindropuntia arbuscula	U. Eggli et al. 1917							trnK/matK sequence from GenBank
	Cylindropuntia bigelovii	atpB-rbcL (1-806); psbA-trnH (807-1139); trnK/matK (1140-3594)	1	3594	QMEX			See matrix	atpB-rbcL: LN871072; psbA-trnH:  n/a		Cylindropuntia bigelovii	R.T. Barcenas 1924							
	Cylindropuntia burrageana	atpB-rbcL (1-806); psbA-trnH (807-1139); trnK/matK (1140-3594)	1	3594	MEXU			FN997316	atpB-rbcL: LN871073; psbA-trnH: LN871120		Cylindropuntia burrageana	J. Ahuatzin 8							trnK/matK sequence from GenBank
	Cylindropuntia cf spinosior	atpB-rbcL (1-806); psbA-trnH (807-1139); trnK/matK (1140-3594)	1	3594	MEXU			FN997455	atpB-rbcL: LN871091; psbA-trnH: LN871138		Cylindropuntia cf spinosior	R.T. Barcenas 1562							trnK/matK sequence from GenBank
	Cylindropuntia cholla	atpB-rbcL (1-806); psbA-trnH (807-1139); trnK/matK (1140-3594)	1	3594	MEXU			FN997446	atpB-rbcL: LN871074; psbA-trnH: LN871121		Cylindropuntia cholla	R.T. Barcenas 1533							trnK/matK sequence from GenBank
	Cylindropuntia ciribe	atpB-rbcL (1-806); psbA-trnH (807-1139); trnK/matK (1140-3594)	1	3594	MEXU			See matrix	atpB-rbcL: LN871075; psbA-trnH: LN871122		Cylindropuntia ciribe	H.Sanchez M. 4406							
	Cylindropuntia clavellina	atpB-rbcL (1-806); psbA-trnH (807-1139); trnK/matK (1140-3594)	1	3594	MEXU			FN997341	atpB-rbcL: LN871076; psbA-trnH: LN871123		Cylindropuntia clavellina	G.E. Lindsay 3140							trnK/matK sequence from GenBank
	Cylindropuntia fulgida	atpB-rbcL (1-806); psbA-trnH (807-1139); trnK/matK (1140-3594)	1	3594	MEXU			FN997453	atpB-rbcL: LN871077; psbA-trnH: LN871124		Cylindropuntia fulgida	R.T. Barcenas 1560							trnK/matK sequence from GenBank
	Cylindropuntia ganderi	atpB-rbcL (1-806); psbA-trnH (807-1139); trnK/matK (1140-3594)	1	3594	MEXU			FN997347	atpB-rbcL: LN871078; psbA-trnH: LN871125		Cylindropuntia ganderi	G.E. Lindsay 3335							trnK/matK sequence from GenBank
	Cylindropuntia imbricata	atpB-rbcL (1-806); psbA-trnH (807-1139); trnK/matK (1140-3594)	1	3594	QMEX			FN997514	atpB-rbcL: LN871079; psbA-trnH: LN871126		Cylindropuntia imbricata	R.T. Barcenas 1724							trnK/matK sequence from GenBank
	Cylindropuntia kleiniae	atpB-rbcL (1-806); psbA-trnH (807-1139); trnK/matK (1140-3594)	1	3594	QMEX			FN997513	atpB-rbcL: LN871080; psbA-trnH: LN871127		Cylindropuntia kleiniae	R.T. Barcenas 1723							trnK/matK sequence from GenBank
	Cylindropuntia leptocaulis	atpB-rbcL (1-806); psbA-trnH (807-1139); trnK/matK (1140-3594)	1	3594	MEXU			FN997454	atpB-rbcL: LN871081; psbA-trnH: LN871128		Cylindropuntia leptocaulis	R.T. Barcenas 1561							trnK/matK sequence from GenBank
	Cylindropuntia lindsayi	atpB-rbcL (1-806); psbA-trnH (807-1139); trnK/matK (1140-3594)	1	3594	MEXU			FN997342	atpB-rbcL: LN871082; psbA-trnH: LN871129		Cylindropuntia lindsayi	G.E. Lindsay 3160							trnK/matK sequence from GenBank
	Cylindropuntia molesta	atpB-rbcL (1-806); psbA-trnH (807-1139); trnK/matK (1140-3594)	1	3594	MEXU			FN997398	atpB-rbcL: LN871083; psbA-trnH: LN871130		Cylindropuntia molesta	P. Tenorio 12899							trnK/matK sequence from GenBank
	Cylindropuntia munzii	atpB-rbcL (1-806); psbA-trnH (807-1139); trnK/matK (1140-3594)	1	3594	QMEX			FN997525	atpB-rbcL: LN871084; psbA-trnH: LN871131		Cylindropuntia munzii	R.T. Barcenas 1899							trnK/matK sequence from GenBank
	Cylindropuntia parryi	atpB-rbcL (1-806); psbA-trnH (807-1139); trnK/matK (1140-3594)	1	3594	MEXU			FN997377	atpB-rbcL: LN871085; psbA-trnH: LN871132		Cylindropuntia parryi	R. Moran 19190							trnK/matK sequence from GenBank
	Cylindropuntia prolifera	atpB-rbcL (1-806); psbA-trnH (807-1139); trnK/matK (1140-3594)	1	3594	QMEX			FN997529	atpB-rbcL: LN871086; psbA-trnH: LN871133		Cylindropuntia prolifera	R.T. Barcenas 1918							trnK/matK sequence from GenBank
	Cylindropuntia ramosissima	atpB-rbcL (1-806); psbA-trnH (807-1139); trnK/matK (1140-3594)	1	3594	QMEX			See matrix	atpB-rbcL: LN871087; psbA-trnH: LN871134		Cylindropuntia ramosissima	R.T. Barcenas 1932							
	Cylindropuntia rosea	atpB-rbcL (1-806); psbA-trnH (807-1139); trnK/matK (1140-3594)	1	3594	MEXU			FN997543	atpB-rbcL: LN871088; psbA-trnH: LN871135		Cylindropuntia rosea	R.T. Barcenas 41							trnK/matK sequence from GenBank
	Cylindropuntia sanfelipensis	atpB-rbcL (1-806); psbA-trnH (807-1139); trnK/matK (1140-3594)	1	3594	QMEX			FN997531	atpB-rbcL: LN871089; psbA-trnH: LN871136		Cylindropuntia sanfelipensis	R.T. Barcenas 1921							trnK/matK sequence from GenBank
	Cylindropuntia santamaria	atpB-rbcL (1-806); psbA-trnH (807-1139); trnK/matK (1140-3594)	1	3594	MEXU			See matrix	atpB-rbcL: LN871090; psbA-trnH: LN871137		Cylindropuntia santamaria	H.Sanchez M. 4395							
	Cylindropuntia tesajo	atpB-rbcL (1-806); psbA-trnH (807-1139); trnK/matK (1140-3594)	1	3594	QMEX			FN997526	atpB-rbcL: LN871092; psbA-trnH: LN871139		Cylindropuntia tesajo	R.T. Barcenas 1900							trnK/matK sequence from GenBank
	Cylindropuntia thurberi	atpB-rbcL (1-806); psbA-trnH (807-1139); trnK/matK (1140-3594)	1	3594	MEXU			FN997222	atpB-rbcL: LN871094; psbA-trnH: LN871141		Cylindropuntia thurberi	U. Eggli et al. 1957							trnK/matK sequence from GenBank
	Cylindropuntia tunicata	atpB-rbcL (1-806); psbA-trnH (807-1139); trnK/matK (1140-3594)	1	3594	QMEX			n/a	atpB-rbcL: LN871095; psbA-trnH: LN871142		Cylindropuntia tunicata	R.T. Barcenas 1649							
	Cylindropuntia versicolor	atpB-rbcL (1-806); psbA-trnH (807-1139); trnK/matK (1140-3594)	1	3594	ZSS			FN997037	atpB-rbcL: LN871096; psbA-trnH: LN871143		Cylindropuntia versicolor	living collection 961060							trnK/matK sequence from GenBank
	Cylindropuntia wolfii	atpB-rbcL (1-806); psbA-trnH (807-1139); trnK/matK (1140-3594)	1	3594	MEXU			FN997212	atpB-rbcL: LN871097; psbA-trnH: LN871144		Cylindropuntia wolfii	Schmidt 40							trnK/matK sequence from GenBank
	Cylindropuntia x tetracantha	atpB-rbcL (1-806); psbA-trnH (807-1139); trnK/matK (1140-3594)	1	3594	MEXU			FN997072	atpB-rbcL: LN871093; psbA-trnH: LN871140		Cylindropuntia x tetracantha	A. Flores 4510							trnK/matK sequence from GenBank
	Grusonia aggeria	atpB-rbcL (1-806); psbA-trnH (807-1139); trnK/matK (1140-3594)	1	3594	MEXU			See matrix	atpB-rbcL: LN871098; psbA-trnH: LN871145		Grusonia aggeria	R.T. Barcenas 1557							
	Grusonia bradtiana	atpB-rbcL (1-806); psbA-trnH (807-1139); trnK/matK (1140-3594)	1	3594	MEXU			FN997451	atpB-rbcL: LN871099; psbA-trnH: LN871146		Grusonia bradtiana	R.T. Barcenas 1554							trnK/matK sequence from GenBank
	Grusonia clavata	atpB-rbcL (1-806); psbA-trnH (807-1139); trnK/matK (1140-3594)	1	3594	RNG			See matrix	atpB-rbcL: LN871100; psbA-trnH: LN871147		Grusonia clavata	Nursery Acquired Plant 3							
	Grusonia emoryi	atpB-rbcL (1-806); psbA-trnH (807-1139); trnK/matK (1140-3594)	1	3594	SRSC			See matrix	atpB-rbcL: LN871101; psbA-trnH: LN871148		Grusonia emoryi	A.M. Powell 5996							
	Grusonia grahamii	atpB-rbcL (1-806); psbA-trnH (807-1139); trnK/matK (1140-3594)	1	3594	MEXU			FN997450	atpB-rbcL: LN871110; psbA-trnH: LN871149		Grusonia grahamii	R.T. Barcenas 1548							trnK/matK sequence from GenBank
	Grusonia invicta	atpB-rbcL (1-806); psbA-trnH (807-1139); trnK/matK (1140-3594)	1	3594	MEXU			FN997447	atpB-rbcL: LN871111; psbA-trnH: LN871150		Grusonia invicta	R.T. Barcenas 1534							trnK/matK sequence from GenBank
	Grusonia kunzei	atpB-rbcL (1-806); psbA-trnH (807-1139); trnK/matK (1140-3594)	1	3594	MEXU			FN997462	atpB-rbcL: LN871102; psbA-trnH: LN871151		Grusonia kunzei	R.T. Barcenas 1576							trnK/matK sequence from GenBank
	Grusonia marenae	atpB-rbcL (1-806); psbA-trnH (807-1139); trnK/matK (1140-3594)	1	3594	MEXU			FN997458	atpB-rbcL: LN871103; psbA-trnH: LN871152		Grusonia marenae	R.T. Barcenas 1567							trnK/matK sequence from GenBank
	Grusonia moelleri1	atpB-rbcL (1-806); psbA-trnH (807-1139); trnK/matK (1140-3594)	1	3594	MEXU			FN997102	atpB-rbcL: LN871104; psbA-trnH: LN871153		Grusonia moelleri1	C. Gomez H. 1729							trnK/matK sequence from GenBank
	Grusonia moelleri2	atpB-rbcL (1-806); psbA-trnH (807-1139); trnK/matK (1140-3594)	1	3594	MEXU			See matrix	atpB-rbcL: LN871105; psbA-trnH: LN871154		Grusonia moelleri2	R.T. Barcenas 1555							
	Grusonia parishii	atpB-rbcL (1-806); psbA-trnH (807-1139); trnK/matK (1140-3594)	1	3594	RNG			FN997392	atpB-rbcL: LN871106; psbA-trnH: LN871155		Grusonia parishii	Nursery Acquired Plant  10							trnK/matK sequence from GenBank
	Grusonia schottii	atpB-rbcL (1-806); psbA-trnH (807-1139); trnK/matK (1140-3594)	1	3594	QMEX			See matrix	atpB-rbcL: LN871108; psbA-trnH: LN871157		Grusonia schottii	R.T. Barcenas 1690							
	Grusonia vilis	atpB-rbcL (1-806); psbA-trnH (807-1139); trnK/matK (1140-3594)	1	3594	MEXU			FN997445	atpB-rbcL: LN871109; psbA-trnH: LN871158		Grusonia vilis	R.T. Barcenas 1529							trnK/matK sequence from GenBank
	Micropuntia pulchella	atpB-rbcL (1-806); psbA-trnH (807-1139); trnK/matK (1140-3594)	1	3594	ZSS			FN997044	atpB-rbcL: LN871107; psbA-trnH: LN871156		Micropuntia pulchella	living collection 994243							trnK/matK sequence from GenBank
	Pereskia aculeata	atpB-rbcL (1-806); psbA-trnH (807-1139); trnK/matK (1140-3594)	1	3594	MEXU			FN997387	atpB-rbcL: LN871112; psbA-trnH: LN871159		Pereskia aculeata	Machuca 7871							trnK/matK sequence from GenBank
	Pereskiopsis diguetii	atpB-rbcL (1-806); psbA-trnH (807-1139); trnK/matK (1140-3594)	1	3594	MEXU			FN997275	atpB-rbcL: LN871113; psbA-trnH: LN871160		Pereskiopsis diguetii	H.M. Hernandez 2466							trnK/matK sequence from GenBank
	Pereskiopsis porteri	atpB-rbcL (1-806); psbA-trnH (807-1139); trnK/matK (1140-3594)	1	3594	MEXU			FN997052	atpB-rbcL: LN871114; psbA-trnH: LN871161		Pereskiopsis porteri	S. Arias 1196							trnK/matK sequence from GenBank
	Portulaca oleracea	atpB-rbcL (1-806); psbA-trnH (807-1139); trnK/matK (1140-3594)	1	3594	QMEX			AY875349	atpB-rbcL: LN871115; psbA-trnH: LN871162		Portulaca oleracea	R.T. Barcenas s/n							trnK/matK sequence from GenBank
	Quiabentia verticillata	atpB-rbcL (1-806); psbA-trnH (807-1139); trnK/matK (1140-3594)	1	3594	n/a			HM041765	atpB-rbcL: n/a; psbA-trnH: AY875340		Quiabentia verticillata	n/a							trnK/matK sequence from GenBank
	Quiabentia zehntneri	atpB-rbcL (1-806); psbA-trnH (807-1139); trnK/matK (1140-3594)	1	3594	n/a			AY875372	atpB-rbcL: n/a; psbA-trnH: AY875345		Quiabentia zehntneri	n/a							trnK/matK sequence from GenBank
																			
																			
