RowSegmentID	Row Taxon Label	Title	Start Index	End Index	Inst. Acronym	Collection Code	Catalog Number	GenBank Accession	Other Accession Num	Sample Date	Sample Taxon Label	Collector	Latitude	Longitude	Elevation	Country	State	Locality	Notes
	Cylindropuntia acanthocarpa	atpB-rbcL	1	806	MEXU				LN871068		Cylindropuntia acanthocarpa	H.M. Hernandez 1564							
	Cylindropuntia acanthocarpa	psbA-trnH	807	1139	MEXU				LN871116		Cylindropuntia acanthocarpa	H.M. Hernandez 1564							
	Cylindropuntia acanthocarpa	trnK/matK	1140	3594	MEXU			FN997252			Cylindropuntia acanthocarpa	H.M. Hernandez 1564							
	Cylindropuntia alcahes	atpB-rbcL	1	806	QMEX				LN871069		Cylindropuntia alcahes	R.T. Barcenas 1543							
	Cylindropuntia alcahes	psbA-trnH	807	1139	QMEX				LN871117		Cylindropuntia alcahes	R.T. Barcenas 1543							
	Cylindropuntia alcahes	trnK/matK	1140	3594	QMEX			FN997448			Cylindropuntia alcahes	R.T. Barcenas 1543							
	Cylindropuntia anteojoensis	atpB-rbcL	1	806	MEXU				LN871070		Cylindropuntia anteojoensis	H.Sanchez M. 4120							
	Cylindropuntia anteojoensis	psbA-trnH	807	1139	MEXU				LN871118		Cylindropuntia anteojoensis	H.Sanchez M. 4120							
	Cylindropuntia anteojoensis	trnK/matK	1140	3594	MEXU			FN997308			Cylindropuntia anteojoensis	H.Sanchez M. 4120							
	Cylindropuntia arbuscula	atpB-rbcL	1	806	MEXU				LN871071		Cylindropuntia arbuscula	U. Eggli et al. 1917							
	Cylindropuntia arbuscula	psbA-trnH	807	1139	MEXU				LN871119		Cylindropuntia arbuscula	U. Eggli et al. 1917							
	Cylindropuntia arbuscula	trnK/matK	1140	3594	MEXU			FN997221			Cylindropuntia arbuscula	U. Eggli et al. 1917							
	Cylindropuntia bigelovii	atpB-rbcL	1	806	QMEX				LN871072		Cylindropuntia bigelovii	R.T. Barcenas 1924							
	Cylindropuntia bigelovii	psbA-trnH	807	1139	QMEX				n/a		Cylindropuntia bigelovii	R.T. Barcenas 1924							
	Cylindropuntia bigelovii	trnK/matK	1140	3594	QMEX			See matrix			Cylindropuntia bigelovii	R.T. Barcenas 1924							
	Cylindropuntia burrageana	atpB-rbcL	1	806	MEXU				LN871073		Cylindropuntia burrageana	J. Ahuatzin 8							
	Cylindropuntia burrageana	psbA-trnH	807	1139	MEXU				LN871120		Cylindropuntia burrageana	J. Ahuatzin 8							
	Cylindropuntia burrageana	trnK/matK	1140	3594	MEXU			FN997316			Cylindropuntia burrageana	J. Ahuatzin 8							
	Cylindropuntia cf spinosior	atpB-rbcL	1	806	MEXU				LN871091		Cylindropuntia cf spinosior	R.T. Barcenas 1562							
	Cylindropuntia cf spinosior	psbA-trnH	807	1139	MEXU				LN871138		Cylindropuntia cf spinosior	R.T. Barcenas 1562							
	Cylindropuntia cf spinosior	trnK/matK	1140	3594	MEXU			FN997455			Cylindropuntia cf spinosior	R.T. Barcenas 1562							
	Cylindropuntia cholla	atpB-rbcL	1	806	MEXU				LN871074		Cylindropuntia cholla	R.T. Barcenas 1533							
	Cylindropuntia cholla	psbA-trnH	807	1139	MEXU				LN871121		Cylindropuntia cholla	R.T. Barcenas 1533							
	Cylindropuntia cholla	trnK/matK	1140	3594	MEXU			FN997446			Cylindropuntia cholla	R.T. Barcenas 1533							
	Cylindropuntia ciribe	atpB-rbcL	1	806	MEXU				LN871075		Cylindropuntia ciribe	H.Sanchez M. 4406							
	Cylindropuntia ciribe	psbA-trnH	807	1139	MEXU				LN871122		Cylindropuntia ciribe	H.Sanchez M. 4406							
	Cylindropuntia ciribe	trnK/matK	1140	3594	MEXU			See matrix			Cylindropuntia ciribe	H.Sanchez M. 4406							
	Cylindropuntia clavellina	atpB-rbcL	1	806	MEXU				LN871076		Cylindropuntia clavellina	G.E. Lindsay 3140							
	Cylindropuntia clavellina	psbA-trnH	807	1139	MEXU				LN871123		Cylindropuntia clavellina	G.E. Lindsay 3140							
	Cylindropuntia clavellina	trnK/matK	1140	3594	MEXU			FN997341			Cylindropuntia clavellina	G.E. Lindsay 3140							
	Cylindropuntia fulgida	atpB-rbcL	1	806	MEXU				LN871077		Cylindropuntia fulgida	R.T. Barcenas 1560							
	Cylindropuntia fulgida	psbA-trnH	807	1139	MEXU				LN871124		Cylindropuntia fulgida	R.T. Barcenas 1560							
	Cylindropuntia fulgida	trnK/matK	1140	3594	MEXU			FN997453			Cylindropuntia fulgida	R.T. Barcenas 1560							
	Cylindropuntia ganderi	atpB-rbcL	1	806	MEXU				LN871078		Cylindropuntia ganderi	G.E. Lindsay 3335							
	Cylindropuntia ganderi	psbA-trnH	807	1139	MEXU				LN871125		Cylindropuntia ganderi	G.E. Lindsay 3335							
	Cylindropuntia ganderi	trnK/matK	1140	3594	MEXU			FN997347			Cylindropuntia ganderi	G.E. Lindsay 3335							
	Cylindropuntia imbricata	atpB-rbcL	1	806	QMEX				LN871079		Cylindropuntia imbricata	R.T. Barcenas 1724							
	Cylindropuntia imbricata	psbA-trnH	807	1139	QMEX				LN871126		Cylindropuntia imbricata	R.T. Barcenas 1724							
	Cylindropuntia imbricata	trnK/matK	1140	3594	QMEX			FN997514			Cylindropuntia imbricata	R.T. Barcenas 1724							
	Cylindropuntia kleiniae	atpB-rbcL	1	806	QMEX				LN871080		Cylindropuntia kleiniae	R.T. Barcenas 1723							
	Cylindropuntia kleiniae	psbA-trnH	807	1139	QMEX				LN871127		Cylindropuntia kleiniae	R.T. Barcenas 1723							
	Cylindropuntia kleiniae	trnK/matK	1140	3594	QMEX			FN997513			Cylindropuntia kleiniae	R.T. Barcenas 1723							
	Cylindropuntia leptocaulis	atpB-rbcL	1	806	MEXU				LN871081		Cylindropuntia leptocaulis	R.T. Barcenas 1561							
	Cylindropuntia leptocaulis	psbA-trnH	807	1139	MEXU				LN871128		Cylindropuntia leptocaulis	R.T. Barcenas 1561							
	Cylindropuntia leptocaulis	trnK/matK	1140	3594	MEXU			FN997454			Cylindropuntia leptocaulis	R.T. Barcenas 1561							
	Cylindropuntia lindsayi	atpB-rbcL	1	806	MEXU				LN871082		Cylindropuntia lindsayi	G.E. Lindsay 3160							
	Cylindropuntia lindsayi	psbA-trnH	807	1139	MEXU				LN871129		Cylindropuntia lindsayi	G.E. Lindsay 3160							
	Cylindropuntia lindsayi	trnK/matK	1140	3594	MEXU			FN997342			Cylindropuntia lindsayi	G.E. Lindsay 3160							
	Cylindropuntia molesta	atpB-rbcL	1	806	MEXU				LN871083		Cylindropuntia molesta	P. Tenorio 12899							
	Cylindropuntia molesta	psbA-trnH	807	1139	MEXU				LN871130		Cylindropuntia molesta	P. Tenorio 12899							
	Cylindropuntia molesta	trnK/matK	1140	3594	MEXU			FN997398			Cylindropuntia molesta	P. Tenorio 12899							
	Cylindropuntia munzii	atpB-rbcL	1	806	QMEX				LN871084		Cylindropuntia munzii	R.T. Barcenas 1899							
