Row Taxon Label	Title	Start Index	End Index	GenBank Accession	Other Accession Num	Collector	Latitude	Longitude	Elevation	Country	State	Locality	Notes
Acanthaegilips sp.		1	1078	AY675826	MB271								
Agrostocynips sp.		1	1078	AY675927	AgrosM.MB294								
Alloxysta sp. 1		1	1078	DQ012618	j015.0.1								
Alloxysta sp. 2		1	1078	AY675849	CharpSB.MB300								
Anacharis sp.		1	1078	AY675821	AnachG.MB274								
Andricus caputmedusae		1	1078	DQ012619	f251.17.0.1								
Andricus clavulus		1	1078	DQ012633	ZL015								
Andricus coriarius		1	1078	DQ012620	f264.0.1								
Andricus curvator		1	1078	DQ012621	j007b.0.1								
Andricus grossulariae		1	1078	DQ012624	f257.20.0.1								
Andricus inflator		1	1078	DQ012623	ZL013								
Andricus kollari		1	1078	AF395176	AF395176								
Andricus pictus		1	1078	DQ012625	f256.12.0.1								
Andricus quercusflocci		1	1078	DQ012622	ZL012								
Andricus quercusradicis		1	1078										
Andricus quercusstrobilana		1	1078	DQ012617	ZL014 Adleria_s.								
Andricus tumificus		1	1078	DQ012634	ZL016								
Antistrophus rufus		1	1078	DQ012626	*493.2.0.1								
Antistrophus silphii		1	1078	AY368917	f239.0.1								
Asiocynips lugubris		1	1078										
Asiocynips pannucea		1	1078										
Aulacidea freesei		1	1078	DQ012627	*577.42.0.1								
Aulacidea hieracii		1	1078	DQ012628	410 copy								
Aulacidea phlomica		1	1078	DQ012629	f242ph.0.1								
Aulacidea tragopogonis		1	1078	AY368922	f265.0.1								
Aulacidea verticillica		1	1078										
Aylax hypecoi		1	1078	DQ012630	505.52.0.1								
Aylax minor		1	1078	DQ012631	f287.74.0.1								
Aylax papaveris		1	1078	AY368923	339.0.1								
Barbotinia oraniensis		1	1078	AF395179	AF395179								
Biorhiza pallida		1	1078	AY368931	f286.0.1								
Callaspidia sp.		1	1078	AY675837	CallaR.MB059								
Cecconia valerianellae		1	1078	TBA	TBA								
Cecinothofagus gallaecoihue		1	1078	FJ998296									
Cecinothofagus gallaelenga		1	1078	FJ998297									
Cecinothofagus ibarrai		1	1078	FJ998298									
Ceroptres cerri		1	1078	AY368910	491.49.0.1								
Ceroptres clavicornis		1	1078	DQ012635	ZL011								
Ceroptres sp.		1	1078	DQ012636	*399.0.1								
Cynips quercus		1	1078	DQ012638	f258.0.1								
Dallatorrella sp.		1	1078	AY675816	MB341								
Diastrophus mayri		1	1078	DQ012639	j020.112.0.1								
Diastrophus potentillae		1	1078	AY368914	404.8.0.1Gonaspis								
Diastrophus rubi		1	1078	DQ012640	406.0.1								
Diastrophus turgidus		1	1078	AY368913	f289.37.0.1								
Diastrophus sp.		1	1078										
Diplolepis rosae		1	1078	AF395174	AF395174								
Dryocosmus quercuspalustris		1	1078	DQ012637	ZL017								
Eschatocerus acaciae		1	1078	AY368928	*f281.0.1								
Euceroptres sp.		1	1078	AY675820	MB425								
Hedickiana levantina		1	1078	AY368919	j017.18.0.1								
Himalocynips vigintilis		1	1078										
Ibalia anceps		1	1078	DQ012641	FSU 408 Zhiwei								
Ibalia rufipes		1	1078	DQ012642	*f292.42.0.1								
Iraella hispanica		1	1078	DQ012632	580.2.0.1								
Iraella luteipes		1	1078	AY368924	333.2.0.1								
Isocolus leuzeae		1	1078	DQ012643	500.11.0.1								
Isocolus lichtensteini		1	1078	DQ012644	329.0.1								
Isocolus rogenhoferi		1	1078	AY368921	f243.0.1								
Kleidotoma sp.		1	1078	AY675914	KleidGA.MB273								
Liebelia fukudae		1	1078	DQ012645	f254.5.0.1								
Liposthenes glechomae		1	1078	AY368915	*f003.7.0.1								
Liposthenes kerneri		1	1078	AY368916	323.0.1								
Melanips sp.		1	1078	AY675835	Melan.MB281								
Neaylax salviae		1	1078	DQ012646	328.0.1 N.spN								
Neaylax verbenaca		1	1078	AY368920	326.0.1								
Neaylax versicolor		1	1078	DQ012647	j019.36.0.1FumAd								
Neuroterus numismalis		1	1078	AY368930	f261.7.0.1								
Panteliella bicolor		1	1078	AF395180	AF395180								
Paramblynotus virginianus		1	1078	AY368933	409.0.1								
Paraspicera sp.		1	1078	DQ012648	ZL092								
Paraulax perplexa		1	1078	FJ998299									
Parnips nigripes A		1	1078	AY368932	j004.23.0.1								
Parnips nigripes B		1	1078										
Pediaspis aceris		1	1078	AY368929	f240.0.1								
Periclistus brandtii		1	1078	AF395181	AF395181								
Periclistus pirata		1	1078	DQ012649	413.0.1								
Phanacis centaureae		1	1078	AY368927	344.6.0.1								
Phanacis hypochoeridis		1	1078	AY368926	321.0.1								
Phanacis phlomidis		1	1078										
Plagiotrochus quercusilicis		1	1078	AF395178	AF395178								
Plectocynips pilosus		1	1078	TBA	TBA								
Plectocynips sp.		1	1078	AY675849	MB264								
Qwaqwaia scolopiae		1	1078	TBA	TBA								
Rhodus oriundus		1	1078	AY368918	j010.4.0.1								
Rhoophilus loewi		1	1078	DQ012650	j021.44.0.1								
Saphonecrus lusitanicus		1	1078	DQ012655	j014.0.1								
Synergus crassicornis		1	1078	AY368909	j011.0.1								
Synergus gallaepomiformis		1	1078	DQ012652	j009.0.1								
Synergus thaumacerus		1	1078	DQ012654	308.0.1								
Synergus umbraculus		1	1078	DQ012651	j013.0.1								
Synergus sp. 1		1	1078										
Synergus sp. 2		1	1078	DQ012653	400.0.1								
Synophromorpha sylvestris		1	1078	AY368911	401.0.1								
Synophrus pilulae		1	1078	DQ012656	f248.0.1								
Timaspis phoenixopodos		1	1078	AY368925	f263.0.1								
Timaspis urospermi		1	1078	DQ012657	504.36.0.1								
Trigonaspis mendesi		1	1078	DQ012658	f259.24.0.1								
Trischiza sp.		1	1078	AY675843	Trisch.MB0499								
Trybliographa sp. 1		1	1078	AY675854	Trybli.MB163								
