Row Taxon Label	Start Index	End Index	Other Accession Num	GenBank Accession	Country	State	Notes
Multifurca ochricompacta DQ421984	1	1675	"BB02.107, PC"	DQ421984			
Multifurca zonaria DQ421990	1	1675	DED7442	DQ421990			
Multifurca furcata DQ421994	1	1675	RH	DQ421994			
Lactarius tenellus KF133280	1	1675	DKA3598 (BR)	KF133280	Benin		
Lactarius kabansus KF133259	1	1675	AV99-205 (GENT)	KF133259	Zimbabwe		
Lactarius saturnisporus KF133285	1	1675	DS07-490 (GENT)	KF133285	Sri Lanka		
Lactarius acris DQ421988	1	1675	"EU014, UPS"	DQ421988			
Zelleromyces gardneri DQ453696	1	1675	SOC513	DQ453696			
Lactarius romagnesii DQ421989	1	1675	"UE29.09.2002-6, UPS"	DQ421989			
Lactarius azonites KF241540	1	1675	AV00-124 (GENT)	KF241540	Belgium		
Lactarius fuliginosus JQ446111	1	1675	GENT M.T. Basso 97-24 fuli469Z	JQ446111	Sweden		
Lactarius lignyotus DQ421993	1	1675	"UE06.09.2003-5, UPS"	DQ421993			
Lactarius montoyae EF560673	1	1675	 K. Das1065	EF560673	India		
Lactarius subplinthogalus KF241539	1	1675	AV04-219 (GENT)	KF241539	USA		
Lactarius echinus KF133273	1	1675	AV07-168 (GENT)	KF133273	Sri Lanka		
Lactarius echinellus KF133287	1	1675	AV07-169 (GENT)	KF133287	Sri Lanka		
Lactarius shoreae KF133278	1	1675	AV07-164 (GENT)	KF133278	Sri Lanka		
Lactarius crassiusculus EF560684	1	1675	 LTH369	EF560684	Thailand		
Lactarius cyanescens GU258278	1	1675	D.Stubbe 06-058 (GENT)	GU258278	Malaysia		
Lactarius baliophaeus GU258277	1	1675	A.Verbeken 05-155 (GENT)	GU258277	Zambia		
Lactarius angiocarpus AY606942	1	1675	"Arora 00-448, GENT"	AY606942			type specimen
Lactarius thyinos KF133271	1	1675	A.Voitk23-08-2004 (GENT)	KF133271	Canada		
Lactarius deliciosus KF133272	1	1675	JN2001-046 (GENT)	KF133272	Slovakia		
Lactarius akahatsu KF133269	1	1675	JN2004-141 (GENT)	KF133269	Thailand		
Lactarius quieticolor DQ422002	1	1675	"UE10.09.2004-1, UPS"	DQ422002			
Arcangeliella crassa AY558740	1	1675	SNF203 TK173	AY558740	USA		single pass sequencing
Arcangeliella sp JF960610	1	1675	T991	JF960610			
