Row Taxon Label	Start Index	End Index	GenBank Accession	Other Accession Num	Collector	Latitude	Longitude	Elevation	Country	State	Locality	Notes
Leptodeira punctata EF078577	1	802	EF078577	UTA R-51974								
Pseudoleptodeira latifasciata EF078582	1	802	EF078582	LSUMZ 39571								
Tropidodipsas sartorii EF078588	1	802	EF078588	KU 289806								
Hypsiglena slevini EU363043	1	802	EU363043	SDSNH 68728								
Hypsiglena slevini EF078545	1	802	EF078545	SDNHM 68729								
Hypsiglena slevini EF078546	1	802	EF078546	MVZ 236388								
Hypsiglena slevini EF078547	1	802	EF078547	MVZ 234613								
Hypsiglena tanzeri EU363044	1	802	EU363044	TCWC accession 2055								
Hypsiglena jani dunklei EU363056	1	802	EU363056	MF9597								
Hypsiglena jani dunklei EU363057	1	802	EU363057	MF21731								
Hypsiglena jani jani EU363059	1	802	EU363059	MF21713								
Hypsiglena jani texana EU363060	1	802	EU363060	MF9528								
Hypsiglena jani texana EU363062	1	802	EU363062	MVZ 236398								
Hypsiglena jani texana EU363063	1	802	EU363063	RWM 5256								
Streptococcus equi subsp. ruminatorum EU078551	1	802	EU078551	216/04-2					Tanzania			
Hypsiglena jani texana EU363064	1	802	EU363064	UTEP 18438								
Hypsiglena jani texana EU363065	1	802	EU363065	TNHC 66672								
Hypsiglena jani texana EU363066	1	802	EU363066	UTEP 16307								
Hypsiglena jani texana EU363067	1	802	EU363067	UTA R-34835								
Hypsiglena jani texana EU363068	1	802	EU363068	TNHC 66659								
Hypsiglena jani texana EU363070	1	802	EU363070	CAS 228960								
Hypsiglena jani texana EU363076	1	802	EU363076	MSB 72615								
Hypsiglena jani texana EU363080	1	802	EU363080	CAS 229231								
Hypsiglena jani texana EU363083	1	802	EU363083	MSB 87874								
Hypsiglena jani texana EU363084	1	802	EU363084	LSUMZ 84790								
Hypsiglena jani texana EU363088	1	802	EU363088	CAS 228936								
Hypsiglena jani texana EU363089	1	802	EU363089	CAS 228933								
Hypsiglena jani texana EU363090	1	802	EU363090	CAS 229281								
