Row Taxon Label	Start Index	End Index	GenBank Accession	Other Accession Num	Notes	Notes2	Title
Pinus taeda 1	1	1077		PUT-157a-Pinus_taeda-5082549	'Sequence available at http://www.plantgdb.org'	'Sequence available at http://www.plantgdb.org'	PsbO protein isoforms
Populus trichocarpa 2	1	1077		PUT-157a-Populus_trichocarpa-19560	'Sequence available at http://www.plantgdb.org'	'Sequence available at http://www.plantgdb.org'	PsbO protein isoforms
Populus trichocarpa 1	1	1077		PUT-157a-Populus_trichocarpa-19830721	'Sequence available at http://www.plantgdb.org'	'Sequence available at http://www.plantgdb.org'	PsbO protein isoforms
Populus x canadensis 2	1	1077		PUT-157a-Populus_x_canadensis-2267	'Sequence available at http://www.plantgdb.org'	'Sequence available at http://www.plantgdb.org'	PsbO protein isoforms
Populus x canadensis 1	1	1077		PUT-157a-Populus_x_canadensis-4133	'Sequence available at http://www.plantgdb.org'	'Sequence available at http://www.plantgdb.org'	PsbO protein isoforms
Solanum tuberosum 2	1	1077		PUT-157a-Solanum_tuberosum-55973153	'Sequence available at http://www.plantgdb.org'	'Sequence available at http://www.plantgdb.org'	PsbO protein isoforms
Solanum tuberosum 1	1	1077		PUT-157a-Solanum_tuberosum-62673150	'Sequence available at http://www.plantgdb.org'	'Sequence available at http://www.plantgdb.org'	PsbO protein isoforms
Zingiber officinale 2	1	1077		PUT-157a-Zingiber_officinale-13416951	'Sequence available at http://www.plantgdb.org'	'Sequence available at http://www.plantgdb.org'	PsbO protein isoforms
Zingiber officinale 1	1	1077		PUT-157a-Zingiber_officinale-13429	'Sequence available at http://www.plantgdb.org'	'Sequence available at http://www.plantgdb.org'	PsbO protein isoforms
Brassica oleracea 2	1	1077		PUT-159a-Brassica_oleracea_var__alboglabra-6441	'Sequence available at http://www.plantgdb.org'	'Sequence available at http://www.plantgdb.org'	PsbO protein isoforms
Brassica oleracea 1	1	1077		PUT-159a-Brassica_oleracea_var__alboglabra-8230	'Sequence available at http://www.plantgdb.org'	'Sequence available at http://www.plantgdb.org'	PsbO protein isoforms
Brassica oleracea 3	1	1077		PUT-163a-Brassica_oleracea-10534	'Sequence available at http://www.plantgdb.org'	'Sequence available at http://www.plantgdb.org'	PsbO protein isoforms
Oryza sativa 1	1	1077		PUT-163a-Oryza_sativa_Japonica_Group-2618157007	'Sequence available at http://www.plantgdb.org'	'Sequence available at http://www.plantgdb.org'	PsbO protein isoforms
Populus deltoides 2	1	1077		PUT-163a-Populus_deltoides-2884	'Sequence available at http://www.plantgdb.org'	'Sequence available at http://www.plantgdb.org'	PsbO protein isoforms
Populus deltoides 1	1	1077		PUT-163a-Populus_deltoides-6737	'Sequence available at http://www.plantgdb.org'	'Sequence available at http://www.plantgdb.org'	PsbO protein isoforms
Manihot esculenta 2	1	1077		PUT-165a-Manihot_esculenta-30396	'Sequence available at http://www.plantgdb.org'	'Sequence available at http://www.plantgdb.org'	PsbO protein isoforms
Manihot esculenta 1	1	1077		PUT-165a-Manihot_esculenta-5151	'Sequence available at http://www.plantgdb.org'	'Sequence available at http://www.plantgdb.org'	PsbO protein isoforms
Selaginella moellendorffii 1	1	1077		PUT-165a-Selaginella_moellendorffii-22621524	'Sequence available at http://www.plantgdb.org'	'Sequence available at http://www.plantgdb.org'	PsbO protein isoforms
Arabidopsis thaliana 1	1	1077		PUT-169a-Arabidopsis_thaliana-1191552665	'Sequence available at http://www.plantgdb.org'	'Sequence available at http://www.plantgdb.org'	PsbO protein isoforms
Arabidopsis thaliana 2	1	1077		PUT-169a-Arabidopsis_thaliana-1565552665	'Sequence available at http://www.plantgdb.org'	'Sequence available at http://www.plantgdb.org'	PsbO protein isoforms
Glycine max 4	1	1077		PUT-169a-Glycine_max-1782271731	'Sequence available at http://www.plantgdb.org'	'Sequence available at http://www.plantgdb.org'	PsbO protein isoforms
Glycine max 3	1	1077		PUT-169a-Glycine_max-181263	'Sequence available at http://www.plantgdb.org'	'Sequence available at http://www.plantgdb.org'	PsbO protein isoforms
Glycine max 1	1	1077		PUT-169a-Glycine_max-1879271735	'Sequence available at http://www.plantgdb.org'	'Sequence available at http://www.plantgdb.org'	PsbO protein isoforms
Glycine max 2	1	1077		PUT-169a-Glycine_max-783271730	'Sequence available at http://www.plantgdb.org'	'Sequence available at http://www.plantgdb.org'	PsbO protein isoforms
Physcomitrella patens 2	1	1077		PUT-169a-Physcomitrella_patens-12399	'Sequence available at http://www.plantgdb.org'	'Sequence available at http://www.plantgdb.org'	PsbO protein isoforms
Physcomitrella patens 3	1	1077		PUT-169a-Physcomitrella_patens-13900	'Sequence available at http://www.plantgdb.org'	'Sequence available at http://www.plantgdb.org'	PsbO protein isoforms
Physcomitrella patens 4	1	1077		PUT-169a-Physcomitrella_patens-4661445	'Sequence available at http://www.plantgdb.org'	'Sequence available at http://www.plantgdb.org'	PsbO protein isoforms
Physcomitrella patens 1	1	1077		PUT-169a-Physcomitrella_patens-8007	'Sequence available at http://www.plantgdb.org'	'Sequence available at http://www.plantgdb.org'	PsbO protein isoforms
Vitis vinifera 2	1	1077		PUT-169a-Vitis_vinifera-43472 and ...-13966265	'Combination of sequences PUT-169a-Vitis_vinifera-43472 and PUT-169a-Vitis_vinifera-13966265 from http://www.plantgdb.org'	'Combination of sequences PUT-169a-Vitis_vinifera-43472 and PUT-169a-Vitis_vinifera-13966265 from http://www.plantgdb.org'	PsbO protein isoforms
Vitis vinifera 1	1	1077		PUT-169a-Vitis_vinifera-6566258	'Sequence available at http://www.plantgdb.org'	'Sequence available at http://www.plantgdb.org'	PsbO protein isoforms
Brassica rapa 2	1	1077		PUT-171a-Brassica_rapa-16899	'Sequence available at http://www.plantgdb.org'	'Sequence available at http://www.plantgdb.org'	PsbO protein isoforms
Brassica rapa 1	1	1077		PUT-171a-Brassica_rapa-35093	'Sequence available at http://www.plantgdb.org'	'Sequence available at http://www.plantgdb.org'	PsbO protein isoforms
Brassica rapa 4	1	1077		PUT-171a-Brassica_rapa-44484	'Sequence available at http://www.plantgdb.org'	'Sequence available at http://www.plantgdb.org'	PsbO protein isoforms
Brassica rapa 3	1	1077		PUT-171a-Brassica_rapa-44485	'Sequence available at http://www.plantgdb.org'	'Sequence available at http://www.plantgdb.org'	PsbO protein isoforms
Capsicum annuum 1	1	1077		PUT-171a-Capsicum_annuum-17927	'Sequence available at http://www.plantgdb.org'	'Sequence available at http://www.plantgdb.org'	PsbO protein isoforms
Capsicum annuum 2	1	1077		PUT-171a-Capsicum_annuum-22581 and PUT-...-6835	'Combination of sequences PUT-171a-Capsicum_annuum-22581 and PUT-171a-Capsicum_annuum-6835 from http://www.plantgdb.org'	'Combination of sequences PUT-171a-Capsicum_annuum-22581 and PUT-171a-Capsicum_annuum-6835 from http://www.plantgdb.org'	PsbO protein isoforms
Solanum lycopersicum 2	1	1077		PUT-171a-Solanum_lycopersicum-28645	'Sequence available at http://www.plantgdb.org'	'Sequence available at http://www.plantgdb.org'	PsbO protein isoforms
Solanum lycopersicum 1	1	1077		PUT-171a-Solanum_lycopersicum-39579	'Sequence available at http://www.plantgdb.org'	'Sequence available at http://www.plantgdb.org'	PsbO protein isoforms
Brassica napus 3	1	1077		PUT-173a-Brassica_napus-126185	'Sequence available at http://www.plantgdb.org'	'Sequence available at http://www.plantgdb.org'	PsbO protein isoforms
Brassica napus 1	1	1077		PUT-173a-Brassica_napus-126806	'Sequence available at http://www.plantgdb.org'	'Sequence available at http://www.plantgdb.org'	PsbO protein isoforms
Brassica napus 2	1	1077		PUT-173a-Brassica_napus-53062	'Sequence available at http://www.plantgdb.org'	'Sequence available at http://www.plantgdb.org'	PsbO protein isoforms
Brassica napus 4	1	1077		PUT-173a-Brassica_napus-87148614	'Sequence available at http://www.plantgdb.org'	'Sequence available at http://www.plantgdb.org'	PsbO protein isoforms
Brassica napus 5	1	1077		PUT-173a-Brassica_napus-97148614	'Sequence available at http://www.plantgdb.org'	'Sequence available at http://www.plantgdb.org'	PsbO protein isoforms
Malus domestica 1	1	1077		PUT-173a-Malus_x_domestica-20592056 and ...-61003	'Combination of sequences PUT-173a-Malus_x_domestica-20592056 and PUT-173a-Malus_x_domestica-61003 from http://www.plantgdb.org'	'Combination of sequences PUT-173a-Malus_x_domestica-20592056 and PUT-173a-Malus_x_domestica-61003 from http://www.plantgdb.org'	PsbO protein isoforms
Malus domestica 2	1	1077		PUT-173a-Malus_x_domestica-28392057	'Sequence available at http://www.plantgdb.org'	'Sequence available at http://www.plantgdb.org'	PsbO protein isoforms
Nicotiana benthamiana 2	1	1077		PUT-173a-Nicotiana_benthamiana-5098 and ...-5099	'Combination of sequences PUT-173a-Nicotiana_benthamiana-5098 and PUT-173a-Nicotiana_benthamiana-5099 from http://www.plantgdb.org'	'Combination of sequences PUT-173a-Nicotiana_benthamiana-5098 and PUT-173a-Nicotiana_benthamiana-5099 from http://www.plantgdb.org'	PsbO protein isoforms
Nicotiana benthamiana 1	1	1077		PUT-173a-Nicotiana_benthamiana-5808	'Sequence available at http://www.plantgdb.org'	'Sequence available at http://www.plantgdb.org'	PsbO protein isoforms
Nicotiana tabacum 4	1	1077		PUT-173a-Nicotiana_tabacum-100618	'Sequence available at http://www.plantgdb.org'	'Sequence available at http://www.plantgdb.org'	PsbO protein isoforms
Nicotiana tabacum 1	1	1077		PUT-173a-Nicotiana_tabacum-103622	'Sequence available at http://www.plantgdb.org'	'Sequence available at http://www.plantgdb.org'	PsbO protein isoforms
Nicotiana tabacum 2	1	1077		PUT-173a-Nicotiana_tabacum-81133664	'Sequence available at http://www.plantgdb.org'	'Sequence available at http://www.plantgdb.org'	PsbO protein isoforms
Nicotiana tabacum 3	1	1077		PUT-173a-Nicotiana_tabacum-97979	'Sequence available at http://www.plantgdb.org'	'Sequence available at http://www.plantgdb.org'	PsbO protein isoforms
Solanum melongena 2	1	1077		PUT-175a-Solanum_melongena-13331	'Sequence available at http://www.plantgdb.org'	'Sequence available at http://www.plantgdb.org'	PsbO protein isoforms
Solanum melongena 1	1	1077		PUT-175a-Solanum_melongena-225788	'Sequence available at http://www.plantgdb.org'	'Sequence available at http://www.plantgdb.org'	PsbO protein isoforms
Lotus japonicus 1	1	1077		PUT-177a-Lotus_japonicus-33039	'Sequence available at http://www.plantgdb.org'	'Sequence available at http://www.plantgdb.org'	PsbO protein isoforms
Lotus japonicus 2	1	1077		PUT-177a-Lotus_japonicus-3480	'Sequence available at http://www.plantgdb.org'	'Sequence available at http://www.plantgdb.org'	PsbO protein isoforms
Phaseolus vulgaris 1	1	1077		PUT-181a-Phaseolus_vulgaris-28105	'Sequence available at http://www.plantgdb.org'	'Sequence available at http://www.plantgdb.org'	PsbO protein isoforms
Phaseolus vulgaris 2	1	1077		PUT-181a-Phaseolus_vulgaris-29341	'Sequence available at http://www.plantgdb.org'	'Sequence available at http://www.plantgdb.org'	PsbO protein isoforms
Artemisia annua 1	1	1077		PUT-183a-Artemisia_annua-4505	'Sequence available at http://www.plantgdb.org'	'Sequence available at http://www.plantgdb.org'	PsbO protein isoforms
Artemisia annua 2	1	1077		PUT-183a-Artemisia_annua-4508	'Sequence available at http://www.plantgdb.org'	'Sequence available at http://www.plantgdb.org'	PsbO protein isoforms
Picea sitchensis 1	1	1077		PUT-183a-Picea_sitchensis-23092	'Sequence available at http://www.plantgdb.org'	'Sequence available at http://www.plantgdb.org'	PsbO protein isoforms
Zea mays 1	1	1077		PUT-5-171a-Zea_mays-1123	'Sequence available at http://www.plantgdb.org'	'Sequence available at http://www.plantgdb.org'	PsbO protein isoforms
Zea mays 2	1	1077		PUT-5-171a-Zea_mays-1125	'Sequence available at http://www.plantgdb.org'	'Sequence available at http://www.plantgdb.org'	PsbO protein isoforms
Citrus reticulata 1	1	1077		 	'Assembled from GenBank ESTs'	'Assembled from GenBank ESTs'	PsbO protein isoforms
Citrus sinensis 1	1	1077		 	'Assembled from GenBank ESTs'	'Assembled from GenBank ESTs'	PsbO protein isoforms
Citrus trifoliata 1	1	1077		 	'Assembled from GenBank ESTs'	'Assembled from GenBank ESTs'	PsbO protein isoforms
Cryptomeria japonica 1	1	1077		 	'Assembled from GenBank ESTs'	'Assembled from GenBank ESTs'	PsbO protein isoforms
Curcuma longa 1	1	1077		 	'Assembled from GenBank ESTs'	'Assembled from GenBank ESTs'	PsbO protein isoforms
Curcuma longa 2	1	1077		 	'Assembled from GenBank ESTs'	'Assembled from GenBank ESTs'	PsbO protein isoforms
Cycas rumphii 1	1	1077		 	'Assembled from GenBank ESTs'	'Assembled from GenBank ESTs'	PsbO protein isoforms
Eucalyptus grandis 1	1	1077		 	'Assembled from GenBank ESTs'	'Assembled from GenBank ESTs'	PsbO protein isoforms
Fragaria vesca 1	1	1077		 	'Assembled from GenBank ESTs'	'Assembled from GenBank ESTs'	PsbO protein isoforms
Gossypium raimondii 1	1	1077		 	'Assembled from GenBank ESTs'	'Assembled from GenBank ESTs'	PsbO protein isoforms
Hordeum vulgare 1	1	1077		 	'Assembled from GenBank ESTs'	'Assembled from GenBank ESTs'	PsbO protein isoforms
Linum usitatissimum 1	1	1077		 	'Assembled from GenBank ESTs'	'Assembled from GenBank ESTs'	PsbO protein isoforms
