Row Taxon Label	Start Index	End Index	GenBank Accession	Other Accession Num	Country	Notes
Abutilon sp. AM235023	1	1360	AM235023	LHMS 2427 (NBG)		
Acacia karoo AM235003	1	1360	AM235003	Goldblatt P. & Porter L. 12440 (NBG)		
Acaena sp. AM235106	1	1360	AM235106	LHMS 1353 (NBG)		
Acalypha sp. AM234975	1	1360	AM234975	RBGK 7740		
Acharia tragodes AJ418795	1	1360	AJ418795	Cloete s. n. BOL		
Achyranthes aspera AY270048	1	1360	AY270048	"S. Jacobs 8660; NW of Charters Towers, Queensland, Australia (NSW)"		authority: Achyranthes aspera L.
Acmadenia rupicola AM235114	1	1360	AM235114	Victor J. JEV2412 (B)		
Acokanthera oppositifolia AM234828	1	1360	AM234828	Forest F. et al. 751 (NBG)		
Acrosanthes teretifolia AM234785	1	1360	AM234785	LHMS 214 (NBG)		
Adenandra uniflora AF066803	1	1360	AF066803			
Adenocline violifolia AY794870	1	1360	AY794870	"Goldblatt & Manning 10677, MO"		
Adenogramma lichtensteiniana AM235030	1	1360	AM235030	RBGK 11115		
Adromischus sp. AM234968	1	1360	AM234968	Goldblatt P. & Porter L. 12498 (NBG)		
Agathosma ovata AM235115	1	1360	AM235115	RBGK 1667		
Agrostis capillaris AY395527	1	1360	AY395527			
Alectra sessiliflora AF026820	1	1360	AF026820			
Allium dregeanum AM234798	1	1360	AM234798	RBGK 3638		
Allophylus sp. AM235128	1	1360	AM235128	Forest F. et al. 815 (NBG)		
Aloe humilis AY323642	1	1360	AY323642			
Alonsoa unilabiata AF026821	1	1360	AF026821			
Amellus sp. AM234845	1	1360	AM234845	Forest F. & Manning J.C. 531 (NBG)		
Ammocharis longifolia AM234803	1	1360	AM234803	RBGK 3643		
Ammophila breviligulata AJ784835	1	1360	AJ784835	1969-19003 HERB		
Amphiglossa tomentosa AM234846	1	1360	AM234846	Forest F. et al. 641 (NBG)		
Amphithalea micrantha AM235004	1	1360	AM235004	RBGK 12292		
Anacampseros papyracea AM235079	1	1360	AM235079	RBGK 10986		
Anaxeton arborescens AM234847	1	1360	AM234847	Balele K. 9b (NBG)		
Anchusa capensis AM234924	1	1360	AM234924	Logie C. FBG45 (NBG)		
Andrachne arida AY663563	1	1360	AY663563	"Johnston 12319, NY"		
Androcymbium orienticapense AM234961	1	1360	AM234961	Manning J.C. 2323 (NBG)		
Andropogon gerardii AJ784818	1	1360	AJ784818	1969-19004		
