Row Taxon Label	Title	Start Index	End Index	Inst. Acronym	Collection Code	Catalog Number	GenBank Accession	Other Accession Num	Country	State	Locality	Notes
Alternaria brassicicola BAJ10492		1	637				BAJ10492	01-2a-s				
Passalora fulva ABG45907		1	637				ABG45907	Alenya B				synonym: Cladosporium fulvum
Didymella rabiei ABC70320		1	637				ABC70320	ATCC 76502				submitted as anamorph
Didymella lentis ABC70321		1	637				ABC70321	ATCC 96420				
Pyrenophora teres AFR54343		1	637				AFR54343	CAWB05-Pt-5				
Dothistroma pini ABK91355		1	637				ABK91355	CBS 116487	USA			
Mycosphaerella pini ABK91356		1	637				ABK91356	CBS 116489	South Africa			
Cercospora zeae-maydis ABB83705		1	637				ABB83705	CBS 117758	USA			
Pyrenophora graminea ABI37047		1	637				ABI37047	CBS-Nr. 100863				
Mycosphaerella eumusae ADB11107		1	637				ADB11107	CIRAD670				anamorph: Pseudocercospora eumusae
Sphaeropsis sapinea AHA91692		1	637				AHA91692	CMW 190				
Cercospora beticola ABB01677		1	637				ABB01677	CPC 12191	Germany			
Pleospora tomatonis AAR00970		1	637				AAR00970	EGS 29-089	USA			authority: Pleospora tomatonis Simmons; anamorph: Stemphylium tomatonis
Alternaria solani BAJ10536		1	637				BAJ10536	EGS 44-098				
Fusarium fujikuroi AEP03795		1	637				AEP03795	MRC8532				
Alternaria alternata BAA75907		1	637				BAA75907	No.15A				Japanese pear pathotype
Neofusicoccum parvum EOD51538		1	637				EOD51538	UCRNP2	USA	CA	Riverside County	
Setosphaeria monoceras BAK14420		1	637				BAK14420	YM-1				
Cochliobolous sativus Q9P446		1	637				Q9P446					
Cochliobolous heterostrophus Q02990		1	637				Q02990					
Curvularia ellisii AF129746		1	637				AF129746					
Phoma clematidina AER26924		1	637	CBS		196.64	AER26924	CBS 196.64	Netherlands			
Didymella vitalbina AER26921		1	637	CBS		123707	AER26921	CBS 123707	Switzerland			
Didymella clematidina AER26943		1	637	CBS		123705	AER26943	CBS 123705	USA			
Peyronellaea pinodella AER26927		1	637	CBS		110.32	AER26927	CBS 110.32	Netherlands			
Peyronellaea pinodes AER26940		1	637	CBS		235.55	AER26940	CBS 235.55				
Pseudocercospora fijiensis ABH04239		1	637				ABH04239					"anamorph: Pseudocercospora fijiensis (M. Morelet, Deighton)"
Pseudocercospora musae ADB11119		1	637	CBS		121374	ADB11119	CBS 121374	Australia			
