Row Taxon Label	Title	Start Index	End Index	GenBank Accession	Other Accession Num	Latitude	Longitude	Country	State	Locality	Notes
Dinodon semicarinatum AB008539		1	16104	AB008539							
Sibon nebulatus EU728583		1	16104	EU728583	MVZ 233298	10.5724	-83.5167	Costa Rica	Limon	"Hotel 0.75 mi S mouth Rio Tortuguero, Limon"	"voucher located at Museum of Vertebrate Zoology, UC Berkeley"
Imantodes cenchoa EU728586		1	16104	EU728586	MVZ 149878	9.7333	-82.85	Costa Rica	Limon	"in Town of Cahiuta, 40 km S Limon, Limon"	"voucher located at Museum of Vertebrate Zoology, UC Berkeley"
Leptodeira polysticta EU728590		1	16104	EU728590	MVZ 164943	17.3742	-100.2094	Mexico	Guerrero	"62 km NE Atoyac on road to Puerto del Callo, Sierra Madre Sur, Guerrero"	"voucher located at Museum of Vertebrate Zoology, UC Berkeley"
Pseudoleptodeira latifasciata EU728579		1	16104	EU728579	LSUMZ 39571	17.9985	-102.169	Mexico	Guerrero	"1 km E Guerrero-Michoacan state line on Mex Hwy 200, Guerrero"	"voucher located at Louisiana State University, Baton Rouge"
Hypsiglena slevini EU728584		1	16104	EU728584	MVZ 234613	23.7659	-109.9084	Mexico	Baja California Sur	"Mex. Hwy. 1, S of San Antonio, Sierra de Laguna, Baja California Sur"	"voucher located at Museum of Vertebrate Zoology, UC Berkeley"
Hypsiglena jani texana EU728592		1	16104	EU728592	CAS 228960	31.1636	-104.8417	USA	Texas	"Hwy 54, 10 mi N of Van Horn, Culberson Co., TX"	"voucher located at California Academy of Sciences, San Francisco"
Hypsiglena torquata EU728591		1	16104	EU728591	MZFC 16926	24.3666	-106.7618	Mexico	Sinaloa	"rd to Cosala, 23.3 rd mi N jct Hwy 15 (Libre), Sinaloa"	"voucher located at Museo de Zoologia, Facultad de Ciencias, Universidad Nacional Autonoma de Mexico (UNAM)."
Hypsiglena sp. DGM2008 EU728580		1	16104	EU728580	CAS 228951	31.9144	-109.1386	USA	Arizona	"Portal Rd., near General Store in Portal, Cochise Co., AZ"	"Cochise; voucher located at California Academy of Sciences, San Francisco"
Hypsiglena chlorophaea chlorophaea EU728585		1	16104	EU728585	ROM 14932	27.093	-109.2272	Mexico	Sonora	"14.6 mi E of Navojoa, Sonora"	"voucher located at Royal Ontario Museum, Canada"
Hypsiglena chlorophaea chlorophaea EU728577		1	16104	EU728577	ROM-JRO 694	28.1734	-110.6896	Mexico	Sonora	"5 km S of Ortiz on Hwy 48, Sonora"	"voucher located at Royal Ontario Museum, Canada"
Hypsiglena chlorophaea chlorophaea EU728593		1	16104	EU728593	MVZ 237359	32.1553	-111.1148	USA	Arizona	"8.4 miles west of Tuscon (at I-10) on Hwy 86, Pima Co., AZ"	"voucher located at Museum of Vertebrate Zoology, UC Berkeley"
Hypsiglena chlorophaea deserticola EU728587		1	16104	EU728587	MVZ 241611	40.325	-114.0315	USA	Utah	"10.4 Rd mi SE of Hwy 93A (NV), on road to Ibapah, Tooele Co., UT"	"voucher located at Museum of Vertebrate Zoology, UC Berkeley"
Hypsiglena ochrorhyncha nuchalata EU728581		1	16104	EU728581	MVZ 180363	38.1002	-120.5625				"voucher located at Museum of Vertebrate Zoology, UC Berkeley"
Hypsiglena ochrorhyncha klauberi EU728582		1	16104	EU728582	CAS 229918	34.112	-118.7724	USA	California	"Malibu Creek, 0.25 mi S of Malibu Cr. St. Park, 0.5 mi E of Peterstrauss Ranch, off Mulholland Hwy., Santa Monica Mts., Los Angeles Co., CA"	"voucher located at California Academy of Sciences, San Francisco"
Hypsiglena ochrorhyncha klauberi EU728589		1	16104	EU728589	MVZ 236389	29.5911	-114.5597	Mexico	Baja California Norte	"39.9 miles N. of the LA Bay junction on Hwy 1, Baja California Norte"	"voucher located at Museum of Vertebrate Zoology, UC Berkeley"
Hypsiglena ochrorhyncha ochrorhyncha EU728578		1	16104	EU728578	MVZ 236396	24.1584	-110.4739	Mexico	Baja California Sur	"Mex. Hwy. 7, (rd to San Juan de la Costa), 2.7 rd mi N of Mex Hwy 1, Baja California Sur"	"voucher located at Museum of Vertebrate Zoology, UC Berkeley"
Hypsiglena chlorophaea catalinae KJ486459		1	16104	KJ486459	MVZ164935	25.65666667	-110.7983333	Mexico		west side Isla Santa Catalina	
Hypsiglena unaocularus KJ486458		1	16104	KJ486458	IBUNAM28127 DGM2285	18.34952778	-114.7338056	Mexico		Isla Clarion	
Hypsiglena unaocularus KF548602		1	16104	KF548602	IBUNAM28128 DGM2286	18.3448	-114.7219	Mexico		Isla Clarion	
Hypsiglena sp. 2 DGM 2013 KF548600		1	16104	KF548600	BYU 42373	27.0972	-109.1634	Mexico	Sonora	"Hwy 1, 27 km ENE of Navajoa, Sonora"	
Hypsiglena tanzeri EU728588		1	16104	EU728588	TCWC A2055	22.624	-100.439	Mexico	San Luis Potosi	"Hwy to Guadalcazar, 0.5 mi. W turnoff to Las Comadres, San Luis Potosi"	"voucher located at Texas Cooperative Wildlife Collection, Texas A & M, College Station"
