Row Taxon Label	Title	Start Index	End Index	GenBank Accession	Other Accession Num	Sample Taxon Label	Collector	Country	Notes
Crithidia bombi GU321187.1		1	593	GU321187		Crithidia bombi			
Crithidia bombi GU321188.1		1	593	GU321188		Crithidia bombi			
Crithidia expoeki GU321189.1		1	593	GU321189		Crithidia expoeki			
Crithidia expoeki GU321190.1		1	593	GU321190		Crithidia expoeki			
Crithidia expoeki GU321191.1		1	593	GU321191		Crithidia mellificae			
Crithidia mellificae 30254 KJ684951		1	593	KJ684951	ATCC 30254	Crithidia mellificae		USA	"authority: Crithidia mellificae Langridge and McGhee, 1967"
Crithidia mellificae 30254 KJ684952		1	593	KJ684952	ATCC 30254	Crithidia mellificae		USA	"authority: Crithidia mellificae Langridge and McGhee, 1967"
Crithidia mellificae 30254 KJ684953		1	593	KJ684953	ATCC 30254	Crithidia mellificae		USA	"authority: Crithidia mellificae Langridge and McGhee, 1967"
Crithidia mellificae 30254 KJ684954		1	593	KJ684954	ATCC 30254	Crithidia mellificae		USA	"authority: Crithidia mellificae Langridge and McGhee, 1967"
Crithidia mellificae 30862 KJ684965		1	593	KJ684965	ATCC 30862	Crithidia mellificae		USA	"authority: Crithidia mellificae Langridge and McGhee, 1967"
Crithidia mellificae 30862 KJ684966		1	593	KJ684966	ATCC 30862	Crithidia mellificae		USA	"authority: Crithidia mellificae Langridge and McGhee, 1967"
Crithidia mellificae 30862 KJ684967		1	593	KJ684967	ATCC 30862	Crithidia mellificae		USA	"authority: Crithidia mellificae Langridge and McGhee, 1967"
Crithidia mellificae 30862 KJ684968		1	593	KJ684968	ATCC 30862	Crithidia mellificae		USA	"authority: Crithidia mellificae Langridge and McGhee, 1967"
Crithidia mellificae 30862 KJ684969		1	593	KJ684969	ATCC 30862	Crithidia mellificae		USA	"authority: Crithidia mellificae Langridge and McGhee, 1967"
Crithidia mellificae BELGIUM ex. OSMIA BICORNIS KM066251		1	593	KM066251					
Endotrypanum schaudinni AB434689.1		1	593	AB434689	MCHO/BR/80/M6159	Endotrypanum schaudinni			
Leishmania braziliensis EF579900.1		1	593	EF579900	LEM2252; MHOM/BR/84/LTB300	Leishmania braziliensis			
Leishmania equatorensis AB434686.1		1	593	AB434686	MCOH/EC/82/LSP-1	Leishmania equatorensis			
Leptomonas passim BELGIUM ex. APIS MELLIFERA KM066240		1	593	KM066240					
Leptomonas passim BELGIUM ex. APIS MELLIFERA KM066241		1	593	KM066241					
Leptomonas passim BELGIUM ex. APIS MELLIFERA KM066242		1	593	KM066242					
Leptomonas passim BELGIUM ex. APIS MELLIFERA KM066243		1	593	KM066243					
Leptomonas passim BELGIUM ex. APIS MELLIFERA KM066244		1	593	KM066244					
Leptomonas passim BELGIUM ex. APIS MELLIFERA KM066245		1	593	KM066245					
Leptomonas passim BELGIUM ex. APIS MELLIFERA KM066246		1	593	KM066246					
Leptomonas passim BELGIUM ex. APIS MELLIFERA KM066247		1	593	KM066247					
Leptomonas passim BELGIUM ex. APIS MELLIFERA KM066248		1	593	KM066248					
Leptomonas passim BELGIUM ex. APIS MELLIFERA KM066249		1	593	KM066249					
Leptomonas passim BELGIUM ex. APIS MELLIFERA KM066250		1	593	KM066250					
Leptomonas passim BRL KJ684960		1	593	KJ684960	BRL	Leptomonas sp. RSS-2014	Ryan S. Schwarz	USA	
Leptomonas passim BRL KJ684961		1	593	KJ684961	BRL	Leptomonas sp. RSS-2014	Ryan S. Schwarz	USA	
Leptomonas passim BRL KJ684962		1	593	KJ684962	BRL	Leptomonas sp. RSS-2014	Ryan S. Schwarz	USA	
Leptomonas passim BRL KJ684963		1	593	KJ684963	BRL	Leptomonas sp. RSS-2014	Ryan S. Schwarz	USA	
Leptomonas passim BRL KJ684964		1	593	KJ684964	BRL	Leptomonas sp. RSS-2014	Ryan S. Schwarz	USA	
Leptomonas passim CHINA ex. APIS CERANA HAPC AB744129.1		1	593	AB744129		Crithidia mellificae		China	
Leptomonas passim JAPAN ex. APIS MELLIFERA HAPA AB716358.1		1	593	AB716358		Crithidia mellificae		Japan	
Leptomonas passim JAPAN ex. APIS MELLIFERA HAPB AB716359.1		1	593	AB716359		Crithidia mellificae		Japan	
Leptomonas passim SF KJ684955		1	593	KJ684955	SF	Leptomonas sp. RSS-2014		USA	
Leptomonas passim SF KJ684956		1	593	KJ684956	SF	Leptomonas sp. RSS-2014		USA	
Leptomonas passim SF KJ684957		1	593	KJ684957	SF	Leptomonas sp. RSS-2014		USA	
Leptomonas passim SF KJ684958		1	593	KJ684958	SF	Leptomonas sp. RSS-2014		USA	
Leptomonas passim SF KJ684959		1	593	KJ684959	SF	Leptomonas sp. RSS-2014		USA	
Trypanosoma cruzi DQ343646.1		1	593	DQ343646	Esmeraldo	Trypanosoma cruzi			maxicircle
