Row Taxon Label	Title	Start Index	End Index	GenBank Accession	Other Accession Num	Collector	Country	State	Locality	Notes
Pythium adhaerens HQ111468 CBS 127278		1	707	HQ111468	CBS 127278					"PCR_primers=fwd_name: ITS1, rev_name: ITS4"
Pythium angustatum HQ643437 CBS52274		1	707	HQ643437	CBS52274 BOLD:OOMYA175-07.ITS	A. J. Van Der Plaats-Niterink	Netherlands	Oostelijk	Flevoland	
Pythium apleroticum HQ643444 CBS77281		1	707	HQ643444	CBS77281 BOLD:OOMYA234-07.ITS	R. Jacobs	Netherlands			
Pythium aquatile HQ643445 CBS21580		1	707	HQ643445	CBS21580 BOLD:OOMYA048-07.ITS	M. W. Dick	United Kingdom			
Pythium aristosporum HQ643447 CBS26338		1	707	HQ643447	CBS26338 BOLD:OOMYA1347-08.ITS	T. C. Vanterpool	Canada	Saskatchewan		
Pythium arrhenomanes AY858635 CBS34262		1	707	AY858635	CBS 324.62					
Pythium capillosum HQ643483 CBS22294		1	707	HQ643483	CBS22294 BOLD:OOMYA061-07.ITS	"B. Paul, F-92"	France	Compiegne		
Pythium catenulatum HQ643494 CBS84268		1	707	HQ643494	CBS84268 BOLD:OOMYA238-07.ITS	W. A. Campbell	USA	South Carolina	Myrtle Beach	
Pythium chondricola HQ643498 CBS20385		1	707	HQ643498	CBS20385 BOLD:OOMYA040-07.ITS	Arthur de Cock	Netherlands	Grevelingenmeer near Grevelingendam		
Pythium coloratum HQ643501 CBS15464		1	707	HQ643501	CBS15464 BOLD:OOMYA019-07.ITS	O. Vaartaja	Australia	South Australia	Mt. Gambier	
Pythium conidiophorum HQ643509		1	707	HQ643509	CBS22388 BOLD:OOMYA062-07.ITS	M. S. Ali-Shtayeh	United Kingdom	Berkshire		
Pythium diclinum HQ643524 CBS66479		1	707	HQ643524	CBS66479 BOLD:OOMYA208-07.ITS	A. J. Van Der Plaats-Niterink	Netherlands	Noord Brabant		
Pythium dissimile HQ643526 CBS15564		1	707	HQ643526	CBS15564 BOLD:OOMYA020-07.ITS	O. Vaartaja	Australia	South Australia	Mt. Gambier	
Pythium dissotocum AY598634 CBS 166.68		1	707	AY598634	CBS 166.68					
Pythium flevoense HQ643537 CBS23672		1	707	HQ643537	CBS23672 BOLD:OOMYA076-07.ITS	A. J. Van Der Plaats-Niterink	Netherlands	Zuidelijk Flevoland		
Pythium folliculosum HQ643540 CBS22094		1	707	HQ643540	CBS22094 BOLD:OOMYA057-07.ITS	"B. Paul, S-24"	Switzerland	bank of Lake Zuerich at Zollikon		
Pythium graminicola HQ643545 CBS32762		1	707	HQ643545	CBS32762 BOLD:OOMYA125-07.ITS	G. M. Waterhouse	Jamaica			
Pythium inflatum HQ643566 CBS16868		1	707	HQ643566	CBS16868 BOLD:OOMYA029-07.ITS	G. M. Waterhouse	USA	Louisiana		
Pythium lutarium HQ643682 CBS22288		1	707	HQ643682	CBS22288 BOLD:OOMYA060-07.ITS	M. S. Ali-Shtayeh	United Kingdom	Berkshire		
Pythium pachycaule HQ643726 CBS22494		1	707	HQ643726	CBS22494 BOLD:OOMYA064-07.ITS	B. Paul	France	Loos en Ghoelle (near Lille)		
Pythium marinum AY598689 CBS 750.96		1	707	AY598689	CBS 750.96					
Pythium pectinolyticum HQ643739 CBS122643		1	707	HQ643739	CBS122643 BOLD:OOMYA1615-08.ITS		France			
Pythium myriotylum AY598678 CBS 254.70		1	707	AY598678	CBS 254.70					
Pythium oopapillum FJ655174 DAOM BR632		1	707	FJ655174	DAOM BR632					
Pythium periilum HQ643740 CBS16968		1	707	HQ643740	CBS16968 BOLD:OOMYA030-07.ITS	G. M. Waterhouse	USA	Florida		
Pythium plurisporium HQ643749 CBS100530		1	707	HQ643749	CBS100530 BOLD:OOMYA1624-08.ITS		USA			
Pythium pyrilobum HQ643755 CBS15864		1	707	HQ643755	CBS15864 BOLD:OOMYA024-07.ITS	O. Vaartaja	Australia	South Australia	Tarpeene nursery	
Pythium salpingophorum HQ643768 CBS47150		1	707	HQ643768	CBS47150 BOLD:OOMYA169-07.ITS		Germany	Muencheberg		
Pythium scleroteichum HQ643771 CBS29437		1	707	HQ643771	CBS29437 BOLD:OOMYA109-07.ITS	C. Drechsler	USA			
Pythium sulcatum AY598682 CBS 603.73		1	707	AY598682	CBS 603.73					
Pythium torulosum HQ643859 CBS31633		1	707	HQ643859	CBS31633 BOLD:OOMYA120-07.ITS	A. Van Luijk	Netherlands			
Pythium volutum HQ643970 Lev1528		1	707	HQ643970	Lev1528 BOLD:OOMYA1594-08.ITS	Z. Gloria Abad				
Pythium absentium UZ00758		1	707	UZ00758						
Pythium absentium UZ00769		1	707	UZ00769						
Pythium biformum UZ00796		1	707	UZ00796						
Pythium biformum UZ00798		1	707	UZ00798						
Pythium brachiatum UZ00735		1	707	UZ00735						
Pythium brachiatum UZ00736		1	707	UZ00736						
Pythium brachiatum UZ00746		1	707	UZ00746						
