Row Taxon Label	Title	Start Index	End Index	GenBank Accession	Other Accession Num	Country	State	Locality	Notes
Muscodor roseus AY034665		1	699	AY034665	A3-5	Australia			
Muscodor cinnamomi CMUcib 461 GQ848369		1	699	GQ848369	CMU-Cib 461	Thailand	Doi Suthep-Pui National Park		"PCR_primers=fwd_name: ITS4, rev_name: ITS5"
Muscodor albus CZ620 AF324336		1	699	AF324336					Muscodor albus gen. et sp. nov.
Muscodor crispans B23 EU195297		1	699	EU195297	B-23				
Muscodor oryzae CMU WR2 JX089321		1	699	JX089321	CMU-WR2	Thailand			"PCR_primers=fwd_name: its5, rev_name: its4"
Muscodor suthepensis JN558830		1	699	JN558830		Thailand			"PCR_primers=fwd_name: its5, rev_name: its4"
Muscodor albus strain CMU44 HM473081		1	699	HM473081	CMU44				
Muscodor musae CMU MU3 JX089323		1	699	JX089323	CMU-MU3	Thailand			"PCR_primers=fwd_name: its5, rev_name: its4"
Muscodor albus isolate 9 6 HM034857		1	699	HM034857	6-Sep				
Muscodor albus AY927993		1	699	AY927993	I41-3s				
Muscodor sp AB 2011 JN426991		1	699	JN426991					
Muscodor fengyangensis ZJLQ151 HM034852		1	699	HM034852	ZJLQ151				
Muscodor fengyangensis ZJLQ070 HM034853		1	699	HM034853	ZJLQ070				
Muscodor sutura SR2011 JF938595		1	699	JF938595	CA22D				
Muscodor yucatanensis FJ917287		1	699	FJ917287	B110	Mexico	Yucatan Peninsula	El Eden Ecological Reserve	
Muscodor vitigenus AY100022		1	699	AY100022	P15				
Muscodor equiseti CMU M2 JX089322		1	699	JX089322	CMU-M2	Thailand			"PCR_primers=fwd_name: its5, rev_name: its4"
Xylaria curta DQ322144		1	699	DQ322144	ST2382				
Xylaria arbuscula AF163028		1	699	AF163028	CBS 454.63				
Xylaria arbuscula AF163029		1	699	AF163029	CBS 452.63				
Arthrinium phaeospermum Strain OUCMBI101209 HQ914942		1	699	HQ914942	OUCMBI101209	China			"sporulating fungi; PCR_primers=fwd_name: ITS5, rev_name: ITS4"
