Row Taxon Label	Title	Start Index	End Index	GenBank Accession	Other Accession Num	Collector	Country	State	Locality	Notes
Tylopilus violatinctus KF112472		1	924	KF112472	HKAS 50208	Yan-Chun Li	China			
Tylopilus plumbeoviolaceoides KF112431		1	924	KF112431	HKAS 50210	Yan-Chun Li	China			
Tylopilus aff rigens HKAS 53388 KF112405		1	924	KF112405	HKAS 53388	Yan-Chun Li	China			
Tylopilus otsuensis KF112449		1	924	KF112449	HKAS 53401	Yan-Chun Li	China			
Tylopilus felleus KF112411		1	924	KF112411	HKAS 54926	K.H.Rexer	Germany			
Tylopilus sp HKAS 55438 KF112404		1	924	KF112404	HKAS 55438	Bang Feng	China			
Tylopilus microsporus KF112450		1	924	KF112450	HKAS 59661	Yan-Chun Li	China			
Tylopilus aff ballouii HKAS 59700 KF112458		1	924	KF112458	HKAS 59700	Yan-Chun Li	China			
Tylopilus formosus HM060319		1	924	HM060319	PDD 72637					
Tylopilus sp HKAS 74925 KF112473		1	924	KF112473	HKAS 74925	Gang Wu	China			
Tylopilus badiceps KF030335		1	924	KF030335	78206		USA	MA	Holliston	
Tylopilus felleus JQ326993		1	924	JQ326993	AT2001011		Sweden	"Stadsskogen, Upsala"		
Tylopilus rubrobrunneus HQ161876		1	924	HQ161876	BD329	Bryn T.M. Dentinger	USA			authority: Tylopilus rubrobrunneus Mazzer & A.H. Sm.
Tylopilus badiceps KF030336		1	924	KF030336	MB03-052		USA	MA		
Tylopilus ferrugineus JQ326994		1	924	JQ326994	MB06-053		USA	NY	Erie Co.	
Tylopilus plumbeoviolaceus KF030350		1	924	KF030350	MB06-056		USA	NY	Chestnut Ridge Park	
Tylopilus felleus AF071466		1	924	AF071466	OSC JMT 6375					
Tylopilus balloui  EU430740		1	924	EU430740	T.W. Osmundson 1198 (NY)		Thailand			
Tylopilus felleus AY586723		1	924	AY586723	KHL8542					"Eukaryota, Fungi, Basidiomycota, Hymenomycetes, Homobasidiomycetes, Boletales, Boletaceae, Tylopilus; authority: Tylopilus felleus (Bull.:Fr.) Karst."
Tylopilus felleus HQ326933		1	924	HQ326933	HKAS54926		Germany	Marburg		
Tylopilus felleus HQ326934		1	924	HQ326934	HKAS55832		China	Jilin		
Tylopilus felleus EU522827		1	924	EU522827	TM03_453		Canada			
Tylopilus alboater AF139708		1	924	AF139708	TDB-1206					LR0R|LR5
Tylopilus felleus AF139710		1	924	AF139710	Tf1					LR0R|LR5
Tylopilus ferrugineus AF139711		1	924	AF139711	210/97					LR0R|LR5
Tylopilus indecisus AF456820		1	924	AF456820	98/98					
Tylopilus plumbeoviolaceus AF457405		1	924	AF457405	190/83					
Tylopilus badiceps DQ534628		1	924	DQ534628	173/97	leg./det. N. Arnold	USA	MA		
Tylopilus rubrobrunneus DQ534629		1	924	DQ534629	152/98	leg./det. N. Arnold	USA	MA		
Tylopilus plumbeoviolaceoides HQ326937		1	924	HQ326937	HKAS50210		China	Yunnan		
Tylopilus violatinctus HQ326935		1	924	HQ326935	HKAS50279		China	Yunnan		
Tylopilus neofelleus HQ326936		1	924	HQ326936	HKAS50319		China	Yunnan		
Tylopilus sp MZ2013 KF000101		1	924	KF000101						"PCR_primers=fwd_name: lror, rev_name: lr5"
Tylopilus porphyrosporus DQ534642		1	924	DQ534642	Pop1	leg./det. M. Beisenherz	Germany	Bavaria		
