Row Taxon Label	Title	Start Index	End Index	GenBank Accession	Other Accession Num	Country	State	Locality	Notes
Lophophacidium dooksii KF889676		1	527	KF889676	QFB14713N1	Canada	Ontario		
Canavirgella banfieldii KF889653		1	527	KF889653	737778	USA	Michigan		
Lophophacidium dooksii KF889670		1	527	KF889670	QFB14710N3	Canada	Ontario		
Lophophacidium dooksii KF889682		1	527	KF889682	QFB14716N1	Canada	New Brunswick		
Canavirgella banfieldii KF889651		1	527	KF889651	737873	USA	Pennsylvania		
Lophophacidium dooksii KF889673		1	527	KF889673	QFB14712N1	Canada	Ontario		
Lophophacidium dooksii KF88965		1	527	KF88965					
Lophophacidium dooksii KF889654		1	527	KF889654	QFB14705N2	Canada	Quebec		
Lophophacidium dooksii KF889652		1	527	KF889652	DAOM183323	Canada	Ontario		
Lophophacidium dooksii KF8896710		1	527	KF8896710					
Lophodermella arcuata AY465518		1	527	AY465518	BPI842080	USA	Montana	Dry Wolf Creek	
Lophodermium piceae AY971733		1	527	AY971733	Lope10				fungal endophyte
Lophodermium piceae AY971734		1	527	AY971734	Lope32				fungal endophyte
Therrya pini JF793677		1	527	JF793677	CBS 177.56				
Tryblidiopsis pinastri JF793678		1	527	JF793678	CBS 445.71				
Lophodermium gamundiae EF191239		1	527	EF191239	SA192 ICMP 16797	Argentina			originally isolated from dried specimen PDD 89044
Lophodermium australe FJ861971		1	527	FJ861971	R122	China			
Coccomyces mucronatus GU138732		1	527	GU138732	R73	China			
Lirula macrospora HQ902159		1	527	HQ902159	Hou et al. 13 (BJTC)				
Hypoderma minterii JX232416		1	527	JX232416	275B				
Hypoderma rubi GU138737		1	527	GU138737	H47	China			
Rhytisma salicinum AY465515		1	527	AY465515	BPI843549	USA	Idaho	Long Canyon	
Coccomyces australis EF191241		1	527	EF191241	SA191 ICMP 16772	Argentina			originally isolated from dried specimen PDD 89891
Therrya fuckelii JF793672		1	527	JF793672	CBS 377.58				
Colpoma quercinum U92306		1	527	U92306					
Rhytisma acerinum GQ253100		1	527	GQ253100	Hou et al. 203				
Lophodermium cathaya HQ992810		1	527	HQ992810	C.L. Hou 837 (BJTC)				
Lophodermium juniperinum JQ313997		1	527	JQ313997	21				
Meloderma desmazieresii AF426056		1	527	AF426056		Canada	Ontario	Bracebridge	obtained from cultures that originated from a single ascospore
Lophodermium pini-mugonis JF332165 		1	527	JF332165	568 (M)				
Lophodermium autumnale HQ902158		1	527	HQ902158	Hou et al. 475C (BJTC)				
Lophodermium baculiferum AY100655		1	527	AY100655	loba1 Oregon				
Lophodermium molitoris AY100659		1	527	AY100659	CBS 597.84				
Dothidea sambuci AY930109		1	527	AY930109	CBS 198.58				
Lophodermium conigenum AY100645		1	527	AY100645	lopr882 New Zealand				
Lophodermium conigenum FJ861975		1	527	FJ861975	R115	China			
Monilinia fructicola JN176564		1	527	JN176564		Serbia			
Phyllactinia moricola D84385		1	527	D84385	MUMH35				
Uncinula necator AF049332		1	527	AF049332	Group I isolate / 'flagshoot'; FCP11				
Davisomycella medusa AY465525		1	527	AY465525	BPI842078	USA	Montana	Little Belt Mountains	
