Row Taxon Label	Title	Start Index	End Index	Inst. Acronym	Collection Code	Catalog Number	GenBank Accession	Other Accession Num	Sample Date	Sample Taxon Label	Collector	Latitude	Longitude	Elevation	Country	State	Locality	Notes
Ephoron shigae c01		1	636			c01	AB874307			Ephoron shigae					Japan			
Ephoron shigae c02		1	636			c02	AB874308			Ephoron shigae					Japan			
Ephoron shigae c03		1	636			c03	AB874309			Ephoron shigae					Japan			
Ephoron shigae c04		1	636			c04	AB874310			Ephoron shigae					Japan			
Ephoron shigae c05		1	636			c05	AB874311			Ephoron shigae					Japan			
Ephoron shigae c06		1	636			c06	AB874312			Ephoron shigae					Japan			
Ephoron shigae c07		1	636			c07	AB874313			Ephoron shigae					Japan			
Ephoron shigae c08		1	636			c08	AB874314			Ephoron shigae					Japan			
Ephoron shigae c09		1	636			c09	AB874315			Ephoron shigae					Japan			
Ephoron shigae c10		1	636			c10	AB874316			Ephoron shigae					Japan			
Ephoron shigae c11		1	636			c11	AB874317			Ephoron shigae					Japan			
Ephoron shigae c12		1	636			c12	AB874318			Ephoron shigae					Japan			
Ephoron shigae c13		1	636			c13	AB874319			Ephoron shigae					Japan			
Ephoron shigae c14		1	636			c14	AB874320			Ephoron shigae					Japan			
Ephoron shigae c15		1	636			c15	AB874321			Ephoron shigae					Japan			
Ephoron shigae c16		1	636			c16	AB874322			Ephoron shigae					Japan			
Ephoron shigae c17		1	636			c17	AB874323			Ephoron shigae					Japan			
Ephoron shigae c18		1	636			c18	AB874324			Ephoron shigae					Japan			
Ephoron shigae c19		1	636			c19	AB874325			Ephoron shigae					Japan			
Ephoron shigae c20		1	636			c20	AB874326			Ephoron shigae					Japan			
Ephoron shigae c21		1	636			c21	AB874327			Ephoron shigae					Japan			
Ephoron shigae c22		1	636			c22	AB874328			Ephoron shigae					Japan			
Ephoron shigae c23		1	636			c23	AB874329			Ephoron shigae					Japan			
Ephoron shigae c24		1	636			c24	AB874330			Ephoron shigae					Japan			
Ephoron shigae c25		1	636			c25	AB874331			Ephoron shigae					Japan			
Ephoron shigae c26		1	636			c26	AB874332			Ephoron shigae					Japan			
Ephoron shigae c27		1	636			c27	AB874333			Ephoron shigae					Japan			
Ephoron shigae c28		1	636			c28	AB874334			Ephoron shigae					Japan			
Ephoron shigae c29		1	636			c29	AB874335			Ephoron shigae					Japan			
Ephoron shigae c30		1	636			c30	AB874336			Ephoron shigae					Japan			
Ephoron shigae c31		1	636			c31	AB874337			Ephoron shigae					Japan			
