Row Taxon Label	Title	Start Index	End Index	Inst. Acronym	Collection Code	Catalog Number	GenBank Accession	Other Accession Num	Sample Date	Sample Taxon Label	Collector	Latitude	Longitude	Elevation	Country	State	Locality	Notes	
Conlarium duplumascospora CGMCC3.14938		1	886							Conlarium duplumascospora CGMCC3.14938								
Conlarium duplumascospora CGMCC3.14939		1	886							Conlarium duplumascospora CGMCC3.14939								
Conlarium duplumascospora CGMCC3.14940		1	886							Conlarium duplumascospora CGMCC3.14940								
AF132327_Cataractispora receptaculorum		1	886							AF132327_Cataractispora receptaculorum								
DQ470950_Papulosa_amerospora		1	886							DQ470950_Papulosa_amerospora								
AY281104_Cryptadelphia_groenendalensis		1	886							AY281104_Cryptadelphia_groenendalensis								
FJ617558_Ceratostomella_cuspidata		1	886							FJ617558_Ceratostomella_cuspidata								
EU107296_Dactylaria_parvispora		1	886							EU107296_Dactylaria_parvispora								
DQ076323_Ceratostomella_pyrenaica		1	886							DQ076323_Ceratostomella_pyrenaica								
EU528001_Cryptadelphia_groenendalensis		1	886							EU528001_Cryptadelphia_groenendalensis								
DQ810221_Neolinocarpon_enshiense		1	886							DQ810221_Neolinocarpon_enshiense								
DQ810205_Linocarpon_livistonae		1	886							DQ810205_Linocarpon_livistonae								
DQ810224_Neolinocarpon_globosicarpum		1	886							DQ810224_Neolinocarpon_globosicarpum								
AY544671_Thyridium_vestitum		1	886							AY544671_Thyridium_vestitum								
GQ996539_Ascitendus_austriacus		1	886							GQ996539_Ascitendus_austriacus								
DQ810222_Linocarpon_elaeidis		1	886							DQ810222_Linocarpon_elaeidis								
AY590285_Annulusmagnus_triseptatus		1	886							AY590285_Annulusmagnus_triseptatus								
AY590288_Annulusmagnus_triseptatus		1	886							AY590288_Annulusmagnus_triseptatus								
EU107297_Pyricularia_angulata		1	886							EU107297_Pyricularia_angulata								
AY316355_Annulatascus_velatispora		1	886							AY316355_Annulatascus_velatispora								
AY316354_Annulatascus_velatispora		1	886							AY316354_Annulatascus_velatispora								
AY590291_Aquaticola_hyalomura		1	886							AY590291_Aquaticola_hyalomura								
AY590290_Aquaticola_ellipsoidea		1	886							AY590290_Aquaticola_ellipsoidea								
AY094186_Ascitendus_triseptatus		1	886							AY094186_Ascitendus_triseptatus								
AY590294_Ascitendus_austriacus		1	886							AY590294_Ascitendus_austriacus								
AY316359_Cyanoannulus_petersenii		1	886							AY316359_Cyanoannulus_petersenii								
AY316358_Cyanoannulus_petersenii		1	886							AY316358_Cyanoannulus_petersenii								
AY780365_Fusoidispora_aquatica		1	886							AY780365_Fusoidispora_aquatica								
AY094191_Pseudoproboscispora_caudaesuis		1	886							AY094191_Pseudoproboscispora_caudaesuis								
AY094192_Pseudoproboscispora_caudaesuis		1	886							AY094192_Pseudoproboscispora_caudaesuis								
AF261068_Rhamphoria_delicatula		1	886							AF261068_Rhamphoria_delicatula								
AY094194_Submersisphaeria_aquatica		1	886							AY094194_Submersisphaeria_aquatica								
AY094193_Submersisphaeria_aquatica		1	886							AY094193_Submersisphaeria_aquatica								
EF063576_Teracosphaeria_petroica		1	886							EF063576_Teracosphaeria_petroica								
AF132331_Vertexicola_confusa		1	886							AF132331_Vertexicola_confusa								
GU456334_Phaeosphaeria_typharum		1	886							GU456334_Phaeosphaeria_typharum								
