Row Taxon Label	Start Index	End Index	Inst. Acronym	Collection Code	Catalog Number	GenBank Accession	Other Accession Num	Sample Date	Sample Taxon Label	Collector	Latitude	Longitude	Elevation	Country	State	Locality	Notes
Manihot aesculifolia	1	816	MEXU	ACA 31		EU518807,FN551748,FN551744,KP692041		5-8-2008	Manihot aesculifolia		18	103	800	Mexico	Michoacan	District of Chinicuila	
Manihot angustiloba	1	816	MEXU	ACA 49		FN551745,FN551751,KP692042,KP692043,KP692044		30-1-2007	Manihot angustiloba		25	109	23	Mexico	Sinaloa	District of Ahome	
Manihot auriculata 	1	816	MEXU	MELR 3408		KP692045			Manihot auriculata 					Mexico	Nayarit		
Manihot caudata	1	816	MEXU	ACA 23		FN551746,KP692046,KP692047,KP692048 		5-8-2005	Manihot caudata		20	102	1,536	Mexico	Michoacan	South shore of the Lake of Chapala	
Manihot chlorosticta	1	816	MEXU	ACA 29		EU518814,FN551743,KP692049 		8-8-2005	Manihot chlorosticta		19	103	410	Mexico 	Colima	Between Colima and Tecoman	
Manihot crassisepala	1	816	MEXU	ACA 37		KP692050,KP692051,KP692052 		10-8-2005	Manihot crassisepala		18	102	650	Mexico	Michoacan	District of Arteaga	
Manihot davisiae	1	816	MEXU	ACA 50		KP692053,KP692054,KP692055		31-1-2007	Manihot davisiae		26	109	30	Mexico	Sinaloa	Between Los Mochis and Navojoa	
Manihot foetida	1	816	MEXU	ACA 1		KP692056,KP692057,KP692058 		16-4-2005	Manihot foetida		18	99	1,015	Mexico 	Morelos	District of Puente de Ixtla	
Manihot jacobinensis 	1	816				EU518823			Manihot jacobinensis 								
Manihot mcvaughii	1	816	MEXU	ACA 35		KP692059,KP692060		10-8-2005	Manihot mcvaughii		19	102	350	Mexico	Michoacan	District of Mugica	
Manihot oaxacana	1	816	MEXU	Olson 1116		FN551739,KP692062 			Manihot oaxacana					Mexico	Oaxaca		
Manihot pringlei	1	816	MEXU	ACA 42		KP692066 		6-9-2006	Manihot pringlei		23	99	852	Mexico 	Tamaulipas	Between Ciudad Victoria and Jaumave	
Manihot purpureocostata	1	816				EU518830			Manihot purpureocostata								
Manihot rhomboidea	1	816	MEXU	ACA 26		KP692067,KP692068,KP692069 		7-8-2005	Manihot rhomboidea		19	103	1925	Mexico 	Colima	Between Colima and Minatitlan	
Manihot rubricaulis	1	816	MEXU	ACA 46		KP692069,KP692070		25-1-2007	Manihot rubricaulis		24	104	1869	Mexico 	Durango 	District of Nombre de Dios	
Manihotoides pauciflora	1	816	MEXU	ACA 20		KP692064,KP692065		6-5-2005	Manihotoides pauciflora		18	97	904	Mexico 	Puebla	District of San Antonio Nanahuatipam
