Row Taxon Label	Start Index	End Index	GenBank Accession	Other Accession Num	Notes	Sample Taxon Label
Arabidopsis thaliana 1	1	1077		PUT-169a-Arabidopsis_thaliana-1191552665	poznamka	Arabidopsis thaliana 1
Arabidopsis thaliana 2	1	1077		PUT-169a-Arabidopsis_thaliana-1565552665	pokusna poznamka	Arabidopsis thaliana 2
Artemisia annua 1	1	1077		PUT-183a-Artemisia_annua-4505		Artemisia annua 1
Artemisia annua 2	1	1077		PUT-183a-Artemisia_annua-4508		Artemisia annua 2
Brassica napus 1	1	1077		PUT-173a-Brassica_napus-126806		Brassica napus 1
Brassica napus 2	1	1077		PUT-173a-Brassica_napus-53062		Brassica napus 2
Brassica napus 3	1	1077		PUT-173a-Brassica_napus-126185		Brassica napus 3
Brassica napus 4	1	1077		PUT-173a-Brassica_napus-87148614		Brassica napus 4
Brassica napus 5	1	1077		PUT-173a-Brassica_napus-97148614		Brassica napus 5
Brassica oleracea 1	1	1077		PUT-159a-Brassica_oleracea_var__alboglabra-8230		Brassica oleracea 1
Brassica oleracea 2	1	1077		PUT-159a-Brassica_oleracea_var__alboglabra-6441		Brassica oleracea 2
Brassica oleracea 3	1	1077		PUT-163a-Brassica_oleracea-10534		Brassica oleracea 3
Brassica rapa 1	1	1077		PUT-171a-Brassica_rapa-35093		Brassica rapa 1
Brassica rapa 2	1	1077		PUT-171a-Brassica_rapa-16899		Brassica rapa 2
Brassica rapa 3	1	1077		PUT-171a-Brassica_rapa-44485		Brassica rapa 3
Brassica rapa 4	1	1077		PUT-171a-Brassica_rapa-44484		Brassica rapa 4
Capsicum annuum 1	1	1077		PUT-171a-Capsicum_annuum-17927		Capsicum annuum 1
Capsicum annuum 2	1	1077		PUT-171a-Capsicum_annuum-22581 and PUT-...-6835		Capsicum annuum 2
Citrus reticulata 1	1	1077				Citrus reticulata 1
Citrus sinensis 1	1	1077				Citrus sinensis 1
Citrus trifoliata 1	1	1077				Citrus trifoliata 1
Cryptomeria japonica 1	1	1077				Cryptomeria japonica 1
Curcuma longa 1	1	1077				Curcuma longa 1
Curcuma longa 2	1	1077				Curcuma longa 2
Cycas rumphii 1	1	1077				Cycas rumphii 1
Eucalyptus grandis 1	1	1077				Eucalyptus grandis 1
Fragaria vesca 1	1	1077				Fragaria vesca 1
Glycine max 1	1	1077		PUT-169a-Glycine_max-1879271735		Glycine max 1
Glycine max 2	1	1077		PUT-169a-Glycine_max-783271730		Glycine max 2
Glycine max 3	1	1077		PUT-169a-Glycine_max-181263		Glycine max 3
Glycine max 4	1	1077		PUT-169a-Glycine_max-1782271731		Glycine max 4
Gossypium raimondii 1	1	1077				Gossypium raimondii 1
Hordeum vulgare 1	1	1077				Hordeum vulgare 1
Linum usitatissimum 1	1	1077				Linum usitatissimum 1
Linum usitatissimum 2	1	1077				Linum usitatissimum 2
