Row Taxon Label	Title	Start Index	End Index	GenBank Accession	Other Accession Num	Collector	Latitude 	Longitude	Elevation	Country	State	Locality						
Cryptococcus flavescens JCM9909		1	1106	AB085803.1  AB085807	JCM9909													
Sporidiobolus pararoseus CBS484		1	1106	AF417115  AF070437	CBS484													
Cryptococcus dimennae CBS5770 		1	1106	AF410473  AF075489	CBS5770 T													
Hannaella oryzae CBS7194		1	1106	AF444413   AF075511	CBS7194													
Cryptococcus cf. cellulolyticus CBS8294		1	1106	AF444442   AF075525	CBS8294 T													
Kurtzmanomyces nectairei CBS6405		1	1106	AF444494   AF177409	CBS6405 T													
Erythrobasidium hasegawianum CBS8253		1	1106	AF444522   AF189899	CBS8253													
Occultifur externus CBS8732		1	1106	AF444567   AF189909	CBS8732													
Rhodotorula ingeniosa CBS4240		1	1106	AF444534.1   AF189934	CBS4240													
Rhodotorula marina CBS2365		1	1106	AF444504   AF189944	CBS2365													
Rhodotorula slooffiae CBS5706		1	1106	AF444627   AF189965	CBS5706 T													
Bullera sinensis var. lactis 		1	1106	AF444665   AF363648	CBS7237 T													
Cryptococcus sp. CBS8979		1	1106	HQ875392.1   AF406892.1	CBS8979													
Cryptococcus sp. CBS8366		1	1106	AF444393.1   AF444702	CBS8366													
Rhodotorula mucilaginosa CBS9077		1	1106	AF444654   AF444749	CBS9077													
Sporidiobolus pararoseus CBS4216		1	1106	AF444604   AF189978	CBS4216													
Bulleromyces albus CBS500		1	1106	AF444662   AF444757	CBS500													
Bulleromyces albus CBS502		1	1106	AF444664   AF444759	 CBS502													
Fellomyces mexicanus CBS8313		1	1106	AJ608668.1   AJ628042.1	CBS8313													
Cryptococcus cf. taibaiensis ST7.9		1	1106	AY557601   AY557601	2.2444 ST 7.9													
Cryptococcus sp. SA7L02		1	1106	FJ27034.1   EU523617.1	SA7L02													
Cryptococcus cf. cellulolyticus ATT064		1	1106	HQ670761.2   FJ743601.1	ATT064													
Erythrobasidium hasegawianum CBS11710		1	1106	FN824494.1   FN824494.1	CBS11710													
Cryptococcus sp. KTAPG1-11.63		1	1106	GQ181170.1   GQ181170.1	KTAPG1-11.63													
Kurtzmanomyces sp.		1	1106	KM246219   KM246135	MG 21	Leite, T. S.			684	Brazil	Minas Gerais	Vicosa						
Cryptococcus dimennae F0910-6F4		1	1106	HG008764.1   n.d.	F0910-6F4													
Occultifur externus PYCC4557		1	1106	AF444643.1   n.d.	PYCC4557													
Rhodotorula mucilaginosa SAAR1		1	1106	DQ386306.1   n.d.	SAAR1													
Rhodotorula mucilaginosa E228		1	1106	KF468222.1   n.d.	E228													
Rhodotorula slooffiae R28Pi		1	1106	JQ665423.1   n.d.	R28Pi													
Cryptococcus flavescens NRRL Y-30216		1	1106	EF056300.1   EF056311.1	NRRL Y-30216													
Hannaella oryzae		1	1106	KM246205   KM246122	IA 31	Leite, T. S.			684	Brazil	Minas Gerais	Vicosa						
Cryptococcus cf. taibaiensis C1/25		1	1106	KM246248   KM246053	C1/25	Leite, T. S.			631	Brazil	Minas Gerais	Agronomy Experimental Field located at Vicosa						
