Row Taxon Label	Title	Start Index	EndIndex	Inst. Acronym	Collection Code	Catalog Number	GenBankAccession	Other Accession Num	Sample Date	Sample Taxon Label	Collector	Latitude	Longitude	Elevation	Country	State	Locality	Notes
Syringa vulgaris		1	653				AF231882			Syringa vulgaris								
Ligustrum vulgare		1	653				AF231848			Ligustrum vulgare								
Picconia azorica  Pico SMNS 142 		1	653				KJ188981			Picconia azorica  Pico SMNS 142 								
Picconia azorica S Jorge SMNS 141 		1	653				KJ188980			Picconia azorica S Jorge SMNS 141 								
Picconia excelsa  LaPalma SMNS 064 		1	653				KJ188977			Picconia excelsa  LaPalma SMNS 064 								
Picconia excelsa Tenerife SMNS 151 		1	653				KJ188983			Picconia excelsa Tenerife SMNS 151 								
Picconia excelsa Madeira SMNS 136 		1	653				KJ188979			Picconia excelsa Madeira SMNS 136 								
Picconia excelsa GranCanaria SMNS 061 		1	653				KJ188976			Picconia excelsa GranCanaria SMNS 061 								
Picconia excelsa Madeira SMNS 135 		1	653				KJ188978			Picconia excelsa Madeira SMNS 135 								
Picconia excelsa  La Gomera SMNS 058 		1	653				KJ188974			Picconia excelsa  La Gomera SMNS 058 								
Picconia excelsa  El Hierro SMNS 056 		1	653				KJ188973			Picconia excelsa  El Hierro SMNS 056 								
Picconia excelsa LaPalma SMNS 055 		1	653				KJ188972			Picconia excelsa LaPalma SMNS 055 								
Picconia excelsa Tenerife SMNS 152 		1	653				KJ188982			Picconia excelsa Tenerife SMNS 152 								
Picconia excelsa La Gomera SMNS 060 		1	653				KJ188975			Picconia excelsa La Gomera SMNS 060 								
Phillyrea angustifolia Gran Canaria SMNS 150 		1	653				KJ188969			Phillyrea angustifolia Gran Canaria SMNS 150 								
Phillyrea angustifolia Spain SMNS 049 b 		1	653				KJ188966			Phillyrea angustifolia Spain SMNS 049 b 								
Phillyrea latifolia Syrien SMNS 052 		1	653				KJ188970			Phillyrea latifolia Syrien SMNS 052 								
Phillyrea latifolia Turkey SMNS 051 b 		1	653				KJ188967			Phillyrea latifolia Turkey SMNS 051 b 								
Phillyrea latifolia Italy SMNS 053 		1	653				KJ188971			Phillyrea latifolia Italy SMNS 053 								
Phillyrea latifolia AF231874 UK		1	653				AF231874			Phillyrea latifolia AF231874 UK								
Chionanthus retusus		1	653				AF231811			Chionanthus retusus								
Nestegis sandwicensis		1	653				AF231857			Nestegis sandwicensis								
Olea brachiata		1	653				AF231864			Olea brachiata								
Osmanthus americanus		1	653				AF231868			Osmanthus americanus								
Noronhia emarginata		1	653				AF231858			Noronhia emarginata								
Olea europaea		1	653				AF231866			Olea europaea								
Olea maroccana Marocco GC1043 		1	653				KJ188984			Olea maroccana Marocco GC1043 								
Osmanthus decorus Georgia SMNS 054 b		1	653				KJ188968			 Phillyrea medwedewii Georgia SMNS 054 b								
Osmanthus heterophyllus		1	653				AF231870			Osmanthus heterophyllus								
Osmanthus fragrans		1	653				AF231869			Osmanthus fragrans								
Forestiera acuminata		1	653				AF231819			Forestiera acuminata								
Fraxinus quadrangulata		1	653				AF231833			Fraxinus quadrangulata								
Fraxinus americana		1	653				AF231825			Fraxinus americana								
Fraxinus excelsior		1	653				AF231830			Fraxinus excelsior								
